TipoHabitacion,PrecioPorNoche,MetodoPago,FrecuenciaVisitas,AfiliadoFidelidad,MotivoViaje,PaisOrigen,AtencionRecepcion,LimpiezaHabitacion,Ruido,Confort,CalidadServicio,VariedadRestaurante,FacilidadReserva,Calificacion
Suite,118.94,Tarjeta,3,Sí,Negocios,Brasil,4,4,4,3,1,1,3,2
Estándar,84.73,Efectivo,4,No,Vacaciones,Colombia,3,4,4,4,2,3,4,3
Familiar,113.48,Transferencia,2,No,Otro,España,1,2,2,4,3,4,3,3
Estándar,90.2,Transferencia,2,No,Evento,Alemania,4,5,2,3,1,2,3,3
Estándar,92.99,Efectivo,2,Sí,Vacaciones,Argentina,3,4,3,2,2,2,4,2
Premium,114.22,Efectivo,1,Sí,Otro,Brasil,1,2,1,5,4,1,3,2
Premium,88.3,Online,2,Sí,Evento,EEUU,4,3,2,3,4,1,2,3
Premium,107.68,Efectivo,6,No,Otro,España,5,1,1,5,5,2,1,3
Suite,44.26,Efectivo,3,No,Negocios,Alemania,1,5,4,3,1,1,4,2
Familiar,128.53,Online,5,No,Evento,México,1,3,1,1,1,3,1,2
Familiar,120.05,Efectivo,1,Sí,Evento,Brasil,3,5,5,2,4,3,4,4
Familiar,87.32,Transferencia,8,No,Vacaciones,México,4,5,3,2,1,4,4,3
Familiar,146.37,Efectivo,4,Sí,Otro,España,5,4,3,3,1,1,3,2
Premium,157.5,Tarjeta,9,Sí,Negocios,Colombia,3,2,1,2,4,2,1,3
Suite,55.7,Transferencia,4,No,Negocios,Colombia,1,5,3,5,2,5,2,3
Suite,89.49,Online,2,No,Otro,España,3,3,1,2,4,2,1,3
Premium,89.23,Transferencia,3,Sí,Otro,Argentina,3,5,1,2,3,5,4,3
Suite,82.4,Online,5,Sí,Negocios,Argentina,3,2,4,2,4,5,2,2
Premium,153.18,Tarjeta,6,No,Otro,Colombia,1,1,1,4,4,4,3,3
Familiar,112.25,Tarjeta,7,Sí,Vacaciones,Argentina,2,5,3,3,2,5,2,4
Premium,109.42,Transferencia,4,No,Otro,Colombia,3,3,5,1,4,3,2,2
Familiar,40.0,Efectivo,7,No,Vacaciones,México,2,1,2,1,4,3,1,2
Familiar,145.42,Transferencia,3,No,Vacaciones,Argentina,5,1,3,4,2,4,4,5
Estándar,70.43,Transferencia,7,Sí,Otro,Colombia,5,4,5,4,4,2,4,4
Premium,122.4,Tarjeta,4,Sí,Evento,Colombia,5,4,3,1,2,2,4,4
Estándar,131.1,Online,8,No,Evento,España,4,5,5,5,3,2,5,5
Premium,174.43,Transferencia,9,No,Vacaciones,Colombia,1,3,3,1,2,2,3,2
Premium,67.65,Efectivo,7,Sí,Otro,Argentina,2,4,2,1,1,3,1,3
Estándar,40.0,Tarjeta,8,Sí,Vacaciones,Argentina,4,2,4,3,1,3,4,2
Estándar,127.35,Transferencia,8,Sí,Otro,Brasil,2,2,4,1,2,4,2,3
Premium,192.02,Transferencia,2,No,Otro,EEUU,1,1,2,1,4,4,5,3
Suite,169.56,Efectivo,9,No,Negocios,EEUU,3,1,3,2,5,4,3,3
Familiar,128.39,Transferencia,6,No,Evento,España,4,1,5,4,5,2,4,3
Estándar,100.33,Transferencia,4,No,Evento,EEUU,1,2,1,1,3,2,5,2
Familiar,152.28,Transferencia,5,No,Negocios,México,4,4,3,1,3,3,3,2
Suite,81.06,Transferencia,5,No,Negocios,Brasil,5,4,2,5,5,3,2,3
Suite,139.05,Efectivo,7,Sí,Negocios,Brasil,4,5,4,1,5,1,5,3
Suite,140.22,Transferencia,9,Sí,Vacaciones,España,3,3,4,3,2,1,1,2
Estándar,162.41,Transferencia,7,Sí,Vacaciones,Argentina,3,2,3,5,5,2,3,3
Suite,230.39,Transferencia,9,No,Vacaciones,Colombia,2,1,5,1,1,3,5,3
Estándar,135.7,Tarjeta,4,No,Vacaciones,EEUU,4,3,2,3,3,2,5,3
Suite,99.64,Efectivo,4,No,Vacaciones,México,5,1,2,4,3,5,3,3
Familiar,118.98,Tarjeta,6,Sí,Evento,Argentina,3,3,5,1,1,1,5,2
Familiar,49.24,Tarjeta,8,Sí,Evento,España,2,3,5,4,3,4,5,3
Premium,92.21,Efectivo,9,Sí,Otro,Argentina,5,4,3,1,5,2,3,3
Familiar,103.63,Tarjeta,1,No,Evento,España,5,5,3,5,3,5,2,4
Premium,99.04,Tarjeta,1,Sí,Negocios,Colombia,5,5,4,5,1,4,1,3
Familiar,126.09,Tarjeta,8,Sí,Evento,Alemania,1,1,4,3,3,5,3,3
Estándar,87.1,Efectivo,7,No,Negocios,EEUU,3,2,5,2,5,3,4,4
Familiar,164.84,Transferencia,9,Sí,Evento,México,1,5,1,3,2,3,5,3
Premium,120.01,Online,3,No,Vacaciones,España,1,2,1,1,5,3,1,2
Premium,119.63,Online,5,Sí,Evento,Argentina,3,1,1,4,3,4,1,2
Suite,106.88,Efectivo,3,No,Otro,EEUU,4,2,2,4,4,4,3,3
Estándar,126.21,Online,5,No,Vacaciones,Argentina,2,3,3,1,3,3,4,3
Familiar,153.0,Efectivo,1,No,Vacaciones,México,3,3,5,2,3,4,4,4
Suite,85.31,Efectivo,4,No,Otro,Brasil,2,1,4,2,1,3,2,1
Familiar,93.68,Online,6,No,Evento,Brasil,4,2,1,2,4,2,4,4
Familiar,107.85,Tarjeta,2,No,Evento,México,3,2,4,1,1,3,3,2
Suite,66.17,Transferencia,7,No,Otro,Brasil,5,1,3,5,1,1,1,2
Suite,87.23,Online,8,No,Vacaciones,España,3,5,5,5,5,2,1,4
Suite,100.95,Online,1,Sí,Otro,EEUU,4,4,1,1,2,3,4,2
Suite,154.98,Online,4,No,Negocios,México,1,5,1,5,3,1,5,4
Suite,130.5,Online,4,Sí,Negocios,España,3,4,5,2,4,3,2,3
Familiar,127.74,Efectivo,5,No,Evento,EEUU,5,2,4,5,3,2,4,3
Suite,154.04,Efectivo,4,No,Vacaciones,EEUU,3,4,3,1,1,3,3,3
Estándar,114.51,Transferencia,9,No,Negocios,España,1,4,3,5,2,4,2,3
Premium,135.62,Transferencia,7,Sí,Otro,EEUU,3,2,3,5,1,3,4,3
Suite,115.87,Online,2,No,Evento,Alemania,5,3,4,5,3,2,2,4
Suite,130.61,Online,1,Sí,Evento,México,4,4,4,5,5,5,5,5
Familiar,96.69,Online,9,No,Vacaciones,México,5,1,1,1,3,3,3,2
Suite,40.0,Transferencia,1,Sí,Negocios,EEUU,4,5,4,3,1,4,4,3
Suite,114.63,Online,6,No,Evento,España,5,2,2,5,4,2,1,3
Suite,176.91,Tarjeta,2,Sí,Otro,Colombia,2,2,5,3,4,1,3,3
Familiar,157.05,Transferencia,4,Sí,Negocios,Brasil,3,4,4,1,4,5,5,3
Suite,158.62,Tarjeta,6,No,Evento,EEUU,3,3,3,4,4,3,5,4
Premium,169.45,Online,5,No,Evento,Colombia,1,3,4,3,4,2,1,4
Familiar,123.55,Efectivo,6,Sí,Negocios,EEUU,2,5,1,1,2,4,3,3
Premium,127.89,Tarjeta,3,No,Negocios,Colombia,1,5,5,4,2,4,4,4
Familiar,95.29,Transferencia,5,Sí,Vacaciones,EEUU,3,3,5,5,5,2,1,3
Suite,107.36,Tarjeta,2,No,Otro,España,1,3,3,1,4,4,4,3
Premium,144.63,Transferencia,7,No,Vacaciones,Brasil,4,3,5,2,1,5,2,3
Familiar,168.16,Online,3,Sí,Vacaciones,Argentina,2,4,2,4,1,1,4,3
Estándar,114.42,Tarjeta,1,No,Otro,Argentina,5,1,5,2,3,4,2,3
Suite,101.99,Efectivo,8,Sí,Otro,Colombia,4,5,3,5,4,4,4,5
Familiar,120.02,Tarjeta,8,No,Vacaciones,Alemania,5,2,5,5,1,1,2,2
Estándar,144.05,Efectivo,3,No,Negocios,España,1,3,4,3,5,5,3,4
Familiar,62.25,Transferencia,7,No,Otro,Brasil,3,3,1,5,1,5,5,4
Estándar,40.0,Online,9,Sí,Vacaciones,EEUU,4,1,4,3,5,5,3,3
Suite,97.98,Online,8,Sí,Negocios,Colombia,2,3,2,4,4,4,1,3
Premium,71.17,Efectivo,3,Sí,Evento,Brasil,5,5,2,2,3,4,3,4
Estándar,99.67,Transferencia,2,No,Negocios,México,4,3,1,4,3,5,3,4
Familiar,114.09,Online,7,No,Vacaciones,España,3,1,1,2,2,4,5,2
Suite,101.87,Transferencia,7,No,Otro,Colombia,2,4,1,1,4,3,3,3
Estándar,178.1,Efectivo,9,No,Negocios,España,2,5,1,4,1,4,1,3
Familiar,133.07,Efectivo,5,Sí,Negocios,Colombia,5,4,5,1,3,5,3,4
Familiar,132.02,Tarjeta,4,Sí,Negocios,Argentina,4,2,4,2,5,2,3,4
Familiar,144.89,Online,8,Sí,Otro,México,4,1,2,3,5,5,3,4
Estándar,74.45,Online,4,Sí,Otro,Alemania,2,2,5,4,1,2,3,2
Estándar,161.56,Tarjeta,4,Sí,Negocios,México,1,2,1,4,1,4,5,3
Estándar,116.97,Efectivo,2,No,Negocios,EEUU,2,2,3,3,4,4,5,3
Premium,146.82,Efectivo,1,Sí,Vacaciones,España,3,2,3,3,1,2,1,1
Estándar,77.13,Efectivo,4,Sí,Otro,Alemania,4,1,4,5,1,5,1,4
Estándar,57.85,Efectivo,7,No,Negocios,España,5,4,2,5,1,1,1,2
Estándar,152.72,Transferencia,9,Sí,Otro,Brasil,4,3,2,2,3,1,3,3
Premium,135.06,Online,9,No,Otro,Colombia,2,2,4,4,4,5,4,4
Estándar,83.92,Online,1,Sí,Otro,EEUU,3,3,1,3,1,4,3,4
Familiar,85.21,Efectivo,5,No,Vacaciones,EEUU,1,3,1,3,1,2,4,3
Estándar,165.02,Efectivo,7,No,Evento,España,4,2,2,1,5,2,1,3
Familiar,72.42,Efectivo,7,Sí,Otro,Argentina,2,5,2,5,3,5,3,4
Familiar,185.71,Online,6,No,Otro,EEUU,2,3,2,1,1,5,1,2
Familiar,83.98,Online,4,No,Negocios,España,2,5,1,3,3,3,5,4
Premium,145.54,Efectivo,3,No,Otro,Colombia,3,4,3,4,4,2,1,3
Premium,106.86,Transferencia,9,Sí,Evento,Colombia,2,3,4,4,4,3,3,3
Premium,144.13,Tarjeta,4,No,Otro,España,2,1,4,1,2,4,5,3
Estándar,98.24,Tarjeta,8,No,Vacaciones,México,2,4,5,5,5,2,5,5
Familiar,113.49,Tarjeta,1,No,Negocios,México,4,4,5,2,2,5,4,3
Premium,121.64,Online,7,Sí,Evento,Colombia,2,5,3,4,3,5,2,3
Premium,79.91,Online,6,Sí,Vacaciones,Alemania,3,2,2,2,5,4,5,3
Estándar,149.63,Tarjeta,1,Sí,Evento,México,4,1,3,5,1,1,2,2
Premium,99.47,Tarjeta,4,Sí,Negocios,España,2,1,5,1,5,3,1,2
Estándar,110.86,Transferencia,5,Sí,Otro,Colombia,1,5,5,5,5,5,1,5
Suite,80.23,Online,8,Sí,Negocios,EEUU,3,5,4,3,4,2,5,3
Premium,40.0,Online,4,Sí,Negocios,EEUU,1,4,3,5,2,2,4,3
Suite,112.36,Tarjeta,3,Sí,Otro,Argentina,3,5,1,1,4,2,1,2
Estándar,216.5,Transferencia,2,No,Vacaciones,México,1,2,5,1,4,4,2,3
Familiar,151.38,Transferencia,4,Sí,Evento,Alemania,2,4,4,5,2,1,5,3
Premium,119.23,Tarjeta,4,Sí,Vacaciones,Brasil,1,4,2,1,4,3,5,2
Estándar,109.48,Tarjeta,5,Sí,Otro,México,1,4,3,3,5,2,4,3
Familiar,120.9,Online,7,No,Evento,Alemania,3,1,5,2,3,2,5,2
Familiar,141.88,Tarjeta,9,No,Otro,México,2,1,1,5,1,5,3,3
Suite,72.77,Efectivo,2,No,Vacaciones,EEUU,3,4,5,1,1,1,2,2
Estándar,164.57,Transferencia,5,Sí,Negocios,Alemania,2,2,1,2,4,5,3,3
Familiar,148.62,Tarjeta,9,No,Evento,EEUU,5,3,3,3,2,4,3,3
Premium,148.73,Efectivo,3,No,Otro,Argentina,4,4,1,5,5,4,2,3
Premium,137.54,Transferencia,1,Sí,Evento,España,4,5,1,1,4,3,5,4
Suite,120.78,Efectivo,2,No,Evento,España,3,3,4,2,5,4,5,4
Familiar,146.91,Efectivo,6,No,Vacaciones,Colombia,2,1,3,3,5,3,3,3
Estándar,143.67,Tarjeta,5,No,Negocios,EEUU,1,1,5,4,1,5,2,3
Premium,105.84,Transferencia,1,No,Evento,EEUU,4,3,2,1,3,2,1,2
Familiar,97.06,Efectivo,1,No,Vacaciones,Argentina,3,5,3,3,3,2,2,3
Familiar,124.07,Online,4,Sí,Evento,Colombia,3,1,3,2,2,1,3,2
Suite,181.96,Transferencia,4,No,Negocios,España,3,1,2,5,3,4,2,3
Premium,70.44,Online,6,Sí,Evento,España,2,4,5,2,4,1,2,2
Premium,61.3,Tarjeta,6,No,Negocios,Alemania,3,2,4,5,1,1,1,3
Estándar,126.59,Online,6,Sí,Vacaciones,Alemania,5,5,5,3,1,2,4,3
Premium,122.04,Transferencia,1,No,Vacaciones,Brasil,1,4,2,3,5,4,4,3
Estándar,126.93,Efectivo,9,Sí,Negocios,Argentina,3,2,5,2,4,2,1,2
Premium,129.76,Efectivo,7,No,Negocios,España,2,1,3,2,4,1,2,2
Suite,111.07,Transferencia,7,Sí,Vacaciones,Brasil,1,2,4,5,5,4,3,3
Premium,179.59,Efectivo,7,Sí,Negocios,México,1,1,1,1,5,2,1,1
Estándar,55.96,Online,2,No,Negocios,EEUU,4,4,5,2,1,3,4,3
Estándar,86.86,Efectivo,2,Sí,Otro,Alemania,3,1,1,1,4,3,4,2
Suite,115.87,Efectivo,6,No,Evento,México,3,2,4,1,3,5,1,2
Premium,54.27,Online,7,Sí,Vacaciones,Alemania,2,4,1,1,3,5,2,2
Premium,112.97,Online,3,No,Vacaciones,Colombia,5,2,5,3,1,4,5,3
Suite,186.46,Online,4,Sí,Otro,EEUU,5,2,2,3,3,5,3,2
Premium,120.84,Tarjeta,3,Sí,Negocios,Brasil,4,3,3,1,3,4,5,3
Premium,129.23,Online,7,No,Negocios,Brasil,5,1,3,1,4,1,3,3
Estándar,69.59,Online,7,No,Negocios,Alemania,2,1,1,3,4,3,5,3
Premium,95.35,Tarjeta,4,Sí,Vacaciones,España,4,2,3,5,2,4,5,4
Premium,104.99,Efectivo,7,No,Otro,Argentina,3,1,3,4,4,1,3,3
Suite,107.29,Online,5,Sí,Evento,Brasil,5,5,2,2,2,3,3,3
Suite,171.27,Transferencia,1,Sí,Otro,Colombia,2,1,1,1,4,2,4,3
Familiar,142.31,Online,4,No,Vacaciones,Colombia,2,4,2,3,5,1,2,4
Estándar,75.54,Online,7,Sí,Evento,España,3,1,2,1,4,2,2,2
Premium,129.86,Tarjeta,2,No,Negocios,Colombia,2,5,4,1,2,5,4,3
Premium,139.93,Transferencia,2,No,Otro,Argentina,4,2,1,1,3,4,5,2
Familiar,165.61,Efectivo,1,No,Otro,EEUU,4,1,2,1,4,3,3,3
Premium,183.22,Efectivo,2,No,Vacaciones,Alemania,1,4,5,5,3,5,1,4
Estándar,79.4,Transferencia,8,Sí,Otro,Colombia,3,5,3,2,3,1,5,3
Familiar,87.57,Online,8,Sí,Evento,EEUU,2,3,1,2,4,5,2,2
Estándar,69.7,Tarjeta,8,Sí,Otro,España,5,2,4,3,4,2,3,3
Familiar,110.64,Transferencia,1,Sí,Vacaciones,Alemania,4,2,2,5,5,2,4,4
Familiar,138.65,Transferencia,1,No,Otro,España,3,2,5,5,2,4,5,4
Suite,159.49,Efectivo,4,No,Evento,Alemania,3,5,3,2,4,5,1,4
Estándar,116.96,Tarjeta,6,No,Evento,Argentina,4,1,3,3,3,3,5,4
Premium,107.21,Transferencia,8,No,Vacaciones,Colombia,1,1,5,5,3,2,4,3
Premium,126.07,Tarjeta,2,Sí,Negocios,Colombia,3,1,1,3,4,1,1,2
Estándar,86.59,Online,3,No,Vacaciones,Alemania,2,1,3,2,2,5,5,3
Premium,203.58,Efectivo,6,No,Negocios,EEUU,5,2,3,1,3,3,4,2
Premium,55.69,Online,4,No,Evento,EEUU,5,3,3,5,5,3,5,4
Estándar,127.39,Tarjeta,2,Sí,Otro,EEUU,4,2,2,3,3,3,3,3
Familiar,200.94,Online,7,No,Otro,México,3,3,2,1,2,3,5,2
Estándar,120.27,Efectivo,4,No,Evento,Brasil,5,3,3,2,1,2,4,3
Familiar,112.4,Tarjeta,8,No,Vacaciones,Brasil,3,1,4,4,5,4,2,4
Premium,105.7,Transferencia,8,No,Otro,Brasil,4,4,3,5,5,5,4,4
Premium,112.78,Online,7,No,Vacaciones,EEUU,1,5,1,5,1,2,5,3
Premium,174.91,Efectivo,9,No,Otro,Colombia,5,4,4,3,5,4,3,5
Suite,40.0,Transferencia,4,No,Negocios,Argentina,2,3,1,2,5,3,2,3
Familiar,181.34,Efectivo,7,Sí,Otro,México,4,4,5,2,5,1,4,4
Suite,63.04,Tarjeta,1,No,Negocios,EEUU,1,3,5,5,3,3,2,3
Suite,109.33,Tarjeta,4,No,Otro,Colombia,2,2,2,5,3,4,3,4
Estándar,102.83,Online,2,No,Otro,México,2,2,2,3,4,4,1,3
Suite,143.54,Efectivo,9,No,Otro,Colombia,5,1,2,3,4,1,2,3
Estándar,56.08,Efectivo,5,No,Otro,Alemania,3,5,5,4,3,2,4,4
Estándar,138.49,Efectivo,3,No,Otro,Colombia,4,2,1,1,5,1,3,2
Suite,200.97,Tarjeta,4,Sí,Vacaciones,México,2,5,4,3,2,3,4,4
Familiar,65.47,Online,6,Sí,Negocios,EEUU,5,1,2,1,1,5,3,2
Familiar,127.59,Efectivo,1,No,Negocios,Brasil,1,5,5,5,4,2,4,4
Familiar,93.52,Efectivo,7,No,Otro,México,2,2,2,4,5,5,3,4
Familiar,137.04,Transferencia,8,No,Vacaciones,EEUU,1,2,3,4,4,5,5,5
Familiar,120.77,Efectivo,7,No,Vacaciones,EEUU,4,4,4,4,2,2,4,3
Suite,94.34,Online,7,No,Evento,Argentina,5,4,1,2,5,3,3,3
Suite,139.51,Transferencia,9,Sí,Evento,España,1,4,2,5,3,4,1,3
Premium,192.17,Transferencia,4,No,Vacaciones,Argentina,3,5,3,2,2,3,3,3
Familiar,112.36,Transferencia,7,Sí,Evento,Alemania,1,2,3,2,4,4,1,2
Suite,148.79,Tarjeta,9,No,Negocios,España,1,1,4,4,5,4,2,4
Premium,68.27,Transferencia,5,No,Vacaciones,Brasil,5,3,5,2,5,2,3,3
Familiar,81.74,Efectivo,2,No,Evento,México,5,2,5,5,1,2,2,3
Estándar,138.9,Tarjeta,5,No,Vacaciones,España,2,4,2,5,1,1,2,2
Premium,179.36,Tarjeta,4,No,Evento,Brasil,1,4,2,2,1,5,5,3
Suite,134.22,Tarjeta,8,No,Vacaciones,EEUU,1,5,5,5,3,5,3,4
Estándar,107.48,Tarjeta,5,No,Otro,México,5,4,1,1,5,5,5,4
Estándar,119.97,Tarjeta,9,Sí,Negocios,España,3,5,1,2,5,5,5,4
Estándar,69.98,Tarjeta,9,No,Evento,Colombia,5,1,3,4,4,1,2,3
Premium,144.18,Tarjeta,3,No,Otro,Brasil,3,4,4,4,3,4,4,4
Suite,155.29,Transferencia,6,No,Vacaciones,Brasil,5,5,1,5,1,1,2,4
Estándar,101.92,Online,6,No,Otro,Alemania,4,4,2,5,5,2,2,3
Familiar,101.2,Efectivo,4,Sí,Negocios,Colombia,1,5,1,4,1,3,1,3
Estándar,130.64,Efectivo,3,Sí,Evento,México,3,2,4,1,2,4,4,3
Estándar,102.53,Transferencia,1,No,Evento,España,4,5,2,4,3,4,2,3
Premium,117.35,Transferencia,7,Sí,Vacaciones,EEUU,3,3,4,2,1,1,4,2
Premium,203.99,Tarjeta,5,No,Negocios,España,2,1,5,4,3,2,1,3
Suite,110.12,Online,7,Sí,Otro,Argentina,2,2,4,3,5,2,4,3
Familiar,105.67,Tarjeta,1,No,Vacaciones,México,1,1,4,1,2,4,3,2
Premium,94.1,Transferencia,8,Sí,Evento,México,4,2,4,1,4,1,1,2
Estándar,149.77,Tarjeta,3,No,Otro,México,4,4,2,4,2,5,4,4
Suite,112.75,Efectivo,7,No,Vacaciones,México,2,5,4,3,3,4,5,4
Estándar,94.03,Efectivo,3,Sí,Otro,Argentina,1,4,4,2,2,5,4,4
Estándar,172.85,Tarjeta,3,Sí,Otro,Brasil,2,1,3,4,5,3,1,3
Premium,176.78,Online,9,No,Vacaciones,España,4,1,2,2,3,2,5,3
Suite,95.98,Tarjeta,2,No,Otro,Colombia,3,2,4,3,3,4,4,4
Familiar,45.34,Tarjeta,4,Sí,Otro,EEUU,4,1,1,4,5,3,4,3
Familiar,160.3,Online,6,No,Negocios,EEUU,1,5,4,4,1,5,1,2
Premium,92.61,Online,3,No,Negocios,Alemania,4,1,1,2,4,4,5,3
Premium,151.63,Online,7,No,Evento,Brasil,5,4,5,4,2,3,5,4
Suite,41.2,Efectivo,7,No,Negocios,México,4,5,5,3,4,4,4,4
Familiar,155.7,Tarjeta,5,No,Vacaciones,México,5,1,2,4,4,3,3,2
Familiar,71.55,Transferencia,3,No,Otro,México,2,3,2,5,5,3,1,3
Familiar,149.23,Online,2,No,Evento,Brasil,5,3,5,3,1,5,1,3
Estándar,120.57,Online,4,Sí,Negocios,Colombia,4,4,2,1,4,2,2,2
Familiar,81.84,Tarjeta,4,No,Otro,México,4,2,1,2,3,1,5,2
Estándar,103.72,Transferencia,8,No,Vacaciones,Alemania,4,2,1,3,1,3,5,3
Suite,147.45,Tarjeta,8,No,Otro,Alemania,1,1,3,1,5,2,2,2
Estándar,124.24,Tarjeta,5,No,Vacaciones,Colombia,2,5,2,1,4,1,4,3
Suite,143.38,Online,6,No,Otro,Brasil,5,2,2,3,5,5,4,4
Familiar,199.06,Online,8,Sí,Evento,México,3,3,3,1,2,4,1,2
Familiar,57.43,Efectivo,1,No,Evento,Argentina,5,2,4,1,5,2,4,4
Suite,184.69,Transferencia,5,No,Negocios,España,4,3,1,5,3,4,3,3
Premium,124.17,Transferencia,4,Sí,Negocios,España,3,2,4,4,5,4,3,3
Suite,84.05,Online,4,No,Otro,EEUU,3,4,3,5,1,1,3,3
Premium,66.79,Online,2,No,Otro,Colombia,5,5,2,4,2,2,2,4
Estándar,112.44,Online,1,No,Negocios,España,5,1,4,1,3,3,3,3
Estándar,156.87,Transferencia,6,No,Negocios,EEUU,5,3,2,4,2,1,2,3
Estándar,114.9,Efectivo,7,No,Otro,Alemania,5,2,3,5,3,2,1,4
Familiar,180.45,Transferencia,5,No,Otro,EEUU,2,1,5,2,2,3,1,2
Estándar,61.95,Online,8,No,Otro,México,1,3,2,2,4,4,3,2
Premium,119.52,Online,9,No,Evento,México,1,3,4,4,5,5,2,4
Estándar,69.9,Efectivo,2,Sí,Vacaciones,Alemania,5,4,4,2,1,5,3,3
Suite,134.55,Tarjeta,4,No,Vacaciones,Colombia,1,2,3,3,1,1,4,2
Suite,155.48,Tarjeta,9,Sí,Negocios,Brasil,5,1,4,2,4,3,2,3
Familiar,103.17,Transferencia,5,No,Evento,México,5,2,1,4,2,3,2,3
Suite,40.0,Tarjeta,3,No,Otro,México,5,2,2,1,5,5,2,3
Premium,127.96,Tarjeta,6,No,Otro,EEUU,2,5,1,5,4,3,2,3
Estándar,137.47,Transferencia,3,No,Negocios,EEUU,4,3,3,2,2,2,4,4
Familiar,136.17,Online,5,Sí,Negocios,EEUU,1,3,1,4,5,2,3,2
Estándar,169.43,Tarjeta,3,No,Evento,España,1,5,1,5,2,5,1,3
Estándar,77.16,Online,6,No,Vacaciones,Argentina,2,5,2,3,1,4,5,3
Premium,147.21,Transferencia,5,No,Vacaciones,Alemania,2,2,2,1,5,4,5,3
Suite,167.7,Online,9,No,Otro,Colombia,5,3,5,5,1,4,2,4
Suite,48.86,Online,3,No,Negocios,EEUU,5,1,1,5,1,5,2,2
Estándar,132.79,Transferencia,6,No,Evento,Colombia,4,4,2,4,5,1,1,3
Familiar,99.83,Online,8,No,Otro,Argentina,1,5,1,3,4,3,5,4
Suite,116.74,Tarjeta,7,No,Vacaciones,EEUU,2,1,1,2,2,2,2,1
Familiar,133.91,Tarjeta,6,No,Vacaciones,México,4,1,3,3,5,2,4,3
Suite,100.51,Tarjeta,2,No,Evento,Argentina,1,2,3,1,1,1,5,1
Familiar,92.97,Tarjeta,7,No,Otro,Colombia,4,5,1,2,2,3,4,2
Premium,121.37,Online,8,Sí,Evento,España,4,1,3,3,5,4,1,3
Familiar,76.51,Tarjeta,1,No,Otro,EEUU,5,4,2,1,4,2,1,3
