ID_Prestamo,ID_Cliente,Ciudad,Region,Monto_Prestamo,Tasa_Interes_Anual,Garantia,Valor_Garantia,Fecha_Inicio,Fecha_Termino,Saldo_Pendiente,Estado_Pago,Tiempo en Meses del prest,Tiene_Atrasos,Estado,Ingresos_Mensuales,Nivel_Educativo,Tipo_Contrato,Antiguedad_Laboral_A̱os,Numero_Creditos_Activos,Score_Crediticio,Duracion_Prestamo_Dias,Riesgo
105,88,24,2,32850.75,8.26,7,200000,737524,737768,20241.77,2,50,1,1,536524,3,2,3,5,731,244,1
106,42,15,4,48488.39,8.74,1,80000,738249,739041,4907.21,2,26,1,2,351179,3,1,6,2,922,792,1
107,101,2,1,9509.66,7.98,1,80000,737806,738595,6499.39,2,41,1,1,797889,2,3,8,3,538,789,1
108,82,19,5,15634.96,13.51,16,60000,738508,738843,0,0,18,0,0,958776,2,1,5,7,573,335,0
109,73,16,3,16367.27,9.01,8,120000,738037,738767,0,0,33,0,0,757195,1,2,4,7,410,730,0
110,161,19,5,10371.01,10.94,10,200000,738065,738795,6016.26,2,32,1,1,765796,1,1,1,4,351,730,1
111,6,25,4,42354.55,14.66,15,30000,738520,739159,3899.06,1,18,0,0,697768,3,1,1,4,736,639,0
112,65,26,2,42662.54,9.75,11,100000,738544,739183,0,0,17,0,0,503878,3,2,5,1,619,639,0
113,146,14,2,40069.96,8.84,18,5000,737883,738462,0,0,38,0,0,606756,1,1,4,4,466,579,0
114,199,13,4,20506.85,11.53,1,80000,738638,739034,6056.55,2,14,1,2,817493,1,2,9,6,857,396,1
115,127,9,1,24929.3,11.19,2,2000,738845,739696,12376.83,1,7,0,0,735900,3,3,2,9,810,851,0
116,77,3,2,38959.84,9.35,14,180000,737817,738121,11701.39,2,41,1,1,838028,2,3,8,2,958,304,1
117,15,2,1,9654.57,9.95,16,60000,737478,738237,4792.71,2,52,1,1,971449,1,1,1,5,662,759,1
119,50,9,1,7254.23,6.58,9,150000,738062,738669,159.08,2,33,1,1,540926,1,2,2,4,724,607,1
120,23,10,2,22470.19,8.32,7,200000,738429,738855,7265.27,2,20,1,1,578533,2,2,8,3,390,426,1
121,6,25,4,40422.44,12.21,12,1000,737968,738667,0,0,36,0,0,697768,3,1,1,4,736,699,0
122,167,3,2,1003.31,13.6,16,60000,738513,738909,306.67,2,18,1,1,540975,1,1,7,1,425,396,1
123,185,21,4,10316.76,11.07,18,5000,738864,739504,1394.04,1,6,0,0,932942,2,2,7,5,840,640,0
125,194,24,2,21471.06,11.8,13,80000,738584,738890,0,0,15,0,0,920975,3,3,5,9,289,306,0
126,74,6,1,43253.25,5.61,8,120000,737686,737989,0,0,45,0,0,739923,3,3,2,7,944,303,0
127,9,28,6,3631.57,12.1,3,90000,737881,738064,1545,2,38,1,1,651177,1,1,8,4,437,183,1
128,47,18,1,7579.41,12.62,10,200000,737784,738484,4969.75,2,42,1,1,937029,1,2,5,7,880,700,1
129,184,9,1,4738.18,6.88,12,1000,737934,738179,0,0,37,0,0,955561,1,1,9,8,466,245,0
130,52,11,3,26770.8,7.57,3,90000,738719,739328,0,0,11,0,0,366473,1,1,0,1,599,609,0
132,36,21,4,1465.06,5.2,5,3000,737441,738111,0,0,53,0,0,999664,2,3,9,9,338,670,0
133,135,32,1,28864.63,6.18,18,5000,738812,739117,0,0,8,0,0,361645,2,3,8,3,979,305,0
134,132,5,1,39894.71,6.11,18,5000,738690,739482,3138,1,12,0,0,917816,1,1,3,7,839,792,0
135,152,2,1,9147.46,6.67,9,150000,738689,739512,0,0,12,0,0,997437,3,3,0,9,536,823,0
136,23,10,2,25256.02,10.15,9,150000,738690,738904,542.32,2,12,1,1,578533,2,2,8,3,390,214,1
138,25,19,5,28715.04,14.41,2,2000,738264,738478,5056.15,2,26,1,1,912798,1,3,5,4,506,214,1
139,122,26,2,4044.72,10.09,4,50000,738673,739557,177.52,1,12,0,0,812644,3,3,5,4,474,884,0
140,104,24,2,38433.18,7.93,17,150000,738225,738743,0,0,27,0,0,524987,2,1,3,4,714,518,0
141,63,6,1,42380.92,9.76,16,60000,738468,738741,10342.23,2,19,1,1,956188,3,3,8,7,441,273,1
143,73,16,3,12463.01,9.21,10,200000,738241,738972,4957.03,2,27,1,2,757195,1,2,4,7,410,731,1
144,48,20,6,4039.46,9.43,1,80000,738185,738366,1002.83,2,29,1,1,767388,3,2,5,9,824,181,1
145,2,16,3,37104.81,5.65,1,80000,738618,738984,21204.91,2,14,1,2,543356,2,2,7,8,476,366,1
147,120,23,7,39049.58,8.4,13,80000,737902,738389,15904.36,2,38,1,1,755415,2,2,0,3,940,487,1
148,11,31,5,23325.26,10.63,13,80000,738547,739368,0,0,17,0,0,840754,3,3,7,2,854,821,0
150,195,11,3,43133.46,13.75,7,200000,738285,738589,0,0,25,0,0,593408,3,3,5,8,669,304,0
151,151,28,6,22337.91,13.07,3,90000,737886,738434,1597.71,2,38,1,1,968558,2,1,7,1,636,548,1
152,110,7,1,37409.19,7.26,17,150000,738804,739596,0,0,8,0,0,755846,2,2,5,5,287,792,0
153,112,6,1,30954.74,9.64,5,3000,737858,738195,0,0,39,0,0,857219,3,3,9,7,524,337,0
154,11,31,5,22043.61,10.67,9,150000,738355,738629,11820.81,2,23,1,1,840754,3,3,7,2,854,274,1
155,151,28,6,10656.6,9.35,2,2000,738505,739326,1495.53,1,18,0,0,968558,2,1,7,1,636,821,0
158,133,17,4,25655.58,14.82,16,60000,737480,737874,0,0,52,0,0,427465,3,3,0,4,754,394,0
159,183,10,2,9517.6,14.69,6,75000,738756,739609,0,0,10,0,0,576739,2,2,6,3,588,853,0
160,109,2,1,28613.25,13.04,13,80000,737692,738544,0,0,45,0,0,391897,3,1,9,9,401,852,0
162,198,21,4,17076.54,14.74,1,80000,737743,738503,0,0,43,0,0,825282,3,1,7,2,560,760,0
163,183,10,2,32909.2,11.79,19,100000,737436,737649,0,0,53,0,0,576739,2,2,6,3,588,213,0
164,181,31,5,11304.84,10.36,14,180000,738861,739317,7558.42,1,6,0,0,518867,2,1,8,2,439,456,0
165,55,24,2,12101.1,11.5,9,150000,738498,738710,0,0,18,0,0,685749,1,3,0,8,788,212,0
166,12,30,1,8433.43,7.29,19,100000,738601,739363,3365.31,1,15,0,0,452478,3,3,9,5,381,762,0
167,81,7,1,21040.36,7,19,100000,737747,738416,0,0,43,0,0,933139,2,2,4,3,609,669,0
168,153,1,1,37747.86,5.1,9,150000,738432,739163,0,0,20,0,0,822107,2,2,9,3,414,731,0
169,13,15,4,34145.17,14.99,9,150000,737650,738380,15945.6,2,46,1,1,683426,1,1,9,9,371,730,1
170,51,31,5,16993.12,11.04,16,60000,737963,738420,16328.06,2,36,1,1,447831,2,1,6,4,294,457,1
171,111,20,6,27342.42,7.09,15,30000,738650,739534,0,0,13,0,0,501732,1,3,4,8,937,884,0
172,121,25,4,20656.7,9.03,14,180000,737484,738062,0,0,52,0,0,667092,3,1,0,4,971,578,0
173,130,21,4,4991.77,5.08,16,60000,738638,739491,4708.35,1,14,0,0,407137,1,1,8,9,960,853,0
174,10,2,1,13960.87,6.54,10,200000,738751,739301,11604.53,1,10,0,0,439683,1,2,2,8,327,550,0
175,129,4,2,46717.48,11.57,11,100000,737822,738672,2921.84,2,40,1,1,953712,3,1,9,8,643,850,1
176,31,4,2,8902.65,6.88,4,50000,738007,738615,0,0,34,0,0,609535,2,3,9,2,654,608,0
177,36,21,4,43124.4,12.13,7,200000,738049,738656,0,0,33,0,0,999664,2,3,9,9,338,607,0
179,159,8,2,31917.25,9.07,18,5000,738434,738982,0,0,20,0,0,605424,1,2,7,2,625,548,0
180,128,18,1,6252.1,5.54,6,75000,737968,738241,0,0,36,0,0,350118,2,2,6,5,767,273,0
181,61,14,2,12600.83,6.78,18,5000,737494,737708,99.36,2,51,1,1,525803,1,3,1,3,434,214,1
182,53,9,1,10902.89,11.51,17,150000,738603,738940,9062.37,2,15,1,1,816135,3,2,0,4,310,337,1
183,173,30,1,1818.7,13.01,11,100000,738405,738586,0,0,21,0,0,554207,3,3,9,7,740,181,0
185,55,24,2,16023.62,10.44,2,2000,738154,738884,0,0,30,0,0,685749,1,3,0,8,788,730,0
186,3,8,2,45869.84,11.7,4,50000,737425,737911,0,0,53,0,0,502077,3,3,5,6,808,486,0
187,73,16,3,25568.47,7.57,15,30000,737725,738455,14745.59,2,44,1,1,757195,1,2,4,7,410,730,1
188,117,26,2,35387.64,11.45,12,1000,738324,738811,0,0,24,0,0,932275,3,3,6,4,268,487,0
189,145,13,4,22436.81,9.34,2,2000,738798,739560,0,0,8,0,0,680964,3,1,0,5,705,762,0
190,181,31,5,49935.6,9.33,11,100000,737507,737903,20790.01,2,51,1,1,518867,2,1,8,2,439,396,1
191,28,21,4,9322.16,5.11,13,80000,738065,738277,5542.41,2,32,1,1,435738,3,3,7,2,676,212,1
192,83,26,2,35752.68,6.94,15,30000,737568,738329,0,0,49,0,0,370582,3,2,8,2,463,761,0
193,36,21,4,38671.44,13.1,12,1000,738397,738854,7460.25,2,22,1,1,999664,2,3,9,9,338,457,1
194,196,10,2,12059.44,7.21,11,100000,738275,738975,0,0,26,0,0,872666,2,3,0,5,491,700,0
195,158,15,4,13494.92,5.81,16,60000,737850,738702,0,0,39,0,0,547953,1,1,8,8,629,852,0
196,138,30,1,23318.33,11.55,9,150000,738056,738968,0,0,33,0,0,535314,1,3,2,5,308,912,0
198,160,12,1,42950.07,12.9,11,100000,737915,738584,0,0,37,0,0,457259,1,1,7,6,567,669,0
201,162,15,4,48367.61,9.96,15,30000,737807,738231,0,0,41,0,0,424418,3,1,8,8,501,424,0
202,150,30,1,46993.8,14.81,13,80000,738561,738834,0,0,16,0,0,587114,1,2,8,7,669,273,0
203,50,9,1,36389.5,11.41,11,100000,737598,738055,0,0,48,0,0,540926,1,2,2,4,724,457,0
204,67,18,1,48139.34,5.71,16,60000,737875,738059,18118.06,2,39,1,1,856982,2,1,1,8,795,184,1
205,172,25,4,13882.12,10.58,10,200000,738411,738653,10319.96,2,21,1,1,512443,3,2,7,7,381,242,1
206,16,15,4,14600.83,11.38,10,200000,737564,738478,0,0,49,0,0,520708,3,2,3,6,698,914,0
207,103,23,7,46686.52,9.39,1,80000,738022,738936,11650.89,2,34,1,1,885255,2,2,8,8,723,914,1
208,26,2,1,46963.77,10.05,12,1000,738785,739363,11597.09,1,9,0,0,698383,2,1,8,2,303,578,0
209,106,11,3,12356.34,7.8,10,200000,738699,739310,5146.17,1,12,0,0,876178,3,1,7,1,889,611,0
210,126,3,2,19681.25,5.53,10,200000,738390,738724,13613.06,2,22,1,1,791218,1,2,5,8,556,334,1
211,47,18,1,44048.12,11.59,13,80000,737899,738629,11325.76,2,38,1,1,937029,1,2,5,7,880,730,1
212,145,13,4,32009.49,6.41,12,1000,737739,738043,0,0,43,0,0,680964,3,1,0,5,705,304,0
213,181,31,5,9987.62,14.07,9,150000,737985,738169,24.27,2,35,1,1,518867,2,1,8,2,439,184,1
214,176,2,1,29752.46,11.6,1,80000,737800,738681,13042.98,2,41,1,1,722226,3,2,5,5,424,881,1
215,79,3,2,7464.52,7.32,8,120000,737595,738021,0,0,48,0,0,408683,3,2,2,8,288,426,0
216,181,31,5,43124.81,12.68,17,150000,738218,738675,13872.29,2,27,1,1,518867,2,1,8,2,439,457,1
218,198,21,4,45496.07,14.27,2,2000,737692,738330,0,0,45,0,0,825282,3,1,7,2,560,638,0
221,136,1,1,30420.31,9.88,1,80000,738495,739012,20200.05,2,18,1,2,926469,1,3,5,3,931,517,1
222,36,21,4,22755.68,14.08,19,100000,738243,739066,0,0,27,0,0,999664,2,3,9,9,338,823,0
223,42,15,4,35117.07,9.51,16,60000,738313,738770,5678.49,2,24,1,1,351179,3,1,6,2,922,457,1
224,16,15,4,18554.06,8.22,14,180000,737644,738009,16154.19,2,46,1,1,520708,3,2,3,6,698,365,1
225,16,15,4,32486,7.16,10,200000,738675,739528,0,0,12,0,0,520708,3,2,3,6,698,853,0
227,160,12,1,24611.95,9.19,9,150000,738177,738815,0,0,29,0,0,457259,1,1,7,6,567,638,0
228,188,19,5,11063.71,7.45,18,5000,738664,738909,9956.67,2,13,1,1,661715,1,1,8,6,806,245,1
229,97,15,4,24746.95,7.88,15,30000,737864,738535,15012.01,2,39,1,1,685928,3,2,0,8,942,671,1
230,60,14,2,30728.28,13.16,19,100000,738003,738307,5303.75,2,34,1,1,971310,2,1,2,9,953,304,1
231,88,24,2,40956.58,13.09,15,30000,737592,737865,0,0,48,0,0,536524,3,2,3,5,731,273,0
232,9,28,6,37725.39,8.17,7,200000,737484,737909,21045.74,2,52,1,1,651177,1,1,8,4,437,425,1
233,72,28,6,27748.14,12.48,17,150000,737751,738236,0,0,43,0,0,516383,1,3,5,9,859,485,0
235,72,28,6,26514.47,11.3,14,180000,738771,739290,0,0,9,0,0,516383,1,3,5,9,859,519,0
236,182,13,4,47908.8,14.01,15,30000,738585,738922,26198.23,2,15,1,1,825696,1,2,6,6,270,337,1
237,32,32,1,34106.22,8.83,2,2000,738298,738512,16623.95,2,25,1,1,391551,2,3,0,1,413,214,1
238,141,22,3,45214.72,6.86,15,30000,738335,739005,0,0,24,0,0,824078,2,1,9,9,835,670,0
239,16,15,4,27193.02,8.24,14,180000,738646,738922,0,0,13,0,0,520708,3,2,3,6,698,276,0
240,99,2,1,40006.55,12.4,6,75000,737543,738061,0,0,50,0,0,411185,2,2,2,6,330,518,0
241,31,4,2,19557.75,6.55,5,3000,737968,738728,0,0,36,0,0,609535,2,3,9,2,654,760,0
242,156,22,3,48045.01,14.22,9,150000,738201,738808,19170.6,2,28,1,1,485345,3,2,1,4,373,607,1
243,13,15,4,6323.29,9.51,1,80000,738408,738864,0,0,21,0,0,683426,1,1,9,9,371,456,0
244,147,9,1,24817.83,12.61,5,3000,738561,738926,13976.73,2,16,1,1,768111,3,2,9,8,535,365,1
245,170,11,3,42752.79,6.58,13,80000,738149,738484,22671.87,2,30,1,1,765152,2,3,4,3,300,335,1
246,73,16,3,40021.68,9.2,6,75000,738803,739534,0,0,8,0,0,757195,1,2,4,7,410,731,0
247,182,13,4,28829.2,11.06,13,80000,738485,738971,0,0,19,0,0,825696,1,2,6,6,270,486,0
248,153,1,1,2235.88,12.05,19,100000,738503,739234,0,0,18,0,0,822107,2,2,9,3,414,731,0
249,101,2,1,28817.74,6.67,5,3000,738234,738874,0,0,27,0,0,797889,2,3,8,3,538,640,0
250,134,11,3,27425,7.82,1,80000,738324,739238,4090.65,1,24,0,0,573516,3,1,7,2,610,914,0
251,26,2,1,35033.88,8.08,4,50000,738738,739073,0,0,10,0,0,698383,2,1,8,2,303,335,0
252,14,27,6,29860.5,7.65,3,90000,738780,739480,0,0,9,0,0,380722,3,1,3,8,700,700,0
253,160,12,1,49227.64,13.13,2,2000,737661,738238,0,0,46,0,0,457259,1,1,7,6,567,577,0
254,25,19,5,49574,5.61,12,1000,737625,738386,0,0,47,0,0,912798,1,3,5,4,506,761,0
255,13,15,4,45616.82,8.32,13,80000,737870,738388,0,0,39,0,0,683426,1,1,9,9,371,518,0
256,71,20,6,2165.2,8.22,12,1000,737618,737983,0,0,47,0,0,916624,2,3,4,1,419,365,0
257,150,30,1,20117.88,6.36,15,30000,738735,739588,0,0,10,0,0,587114,1,2,8,7,669,853,0
258,36,21,4,40274.58,9.7,19,100000,738404,738707,12043.95,2,21,1,1,999664,2,3,9,9,338,303,1
259,54,9,1,3255,8.37,12,1000,737435,737891,2373.5,2,53,1,1,727358,2,2,2,9,472,456,1
260,133,17,4,1568.61,13.3,2,2000,737902,738754,0,0,38,0,0,427465,3,3,0,4,754,852,0
261,62,7,1,1523.25,8.15,17,150000,737464,738164,729.81,2,52,1,1,537982,3,1,8,1,970,700,1
262,135,32,1,17519.8,7.74,13,80000,737498,738108,945.15,2,51,1,1,361645,2,3,8,3,979,610,1
263,161,19,5,23314.45,8.15,7,200000,737618,738257,12528.18,2,47,1,1,765796,1,1,1,4,351,639,1
264,146,14,2,6461.83,12.69,6,75000,738575,738878,1397.14,2,16,1,1,606756,1,1,4,4,466,303,1
265,35,10,2,2133.09,10.89,2,2000,737885,738525,0,0,38,0,0,698130,2,3,8,8,883,640,0
266,77,3,2,16289.4,14.28,2,2000,738721,739422,15194.11,1,11,0,0,838028,2,3,8,2,958,701,0
267,71,20,6,11476.62,14.46,7,200000,737776,738050,9121.29,2,42,1,1,916624,2,3,4,1,419,274,1
268,43,28,6,8680.29,5.23,16,60000,737621,737895,0,0,47,0,0,879916,1,3,4,5,647,274,0
269,55,24,2,30888.77,7.29,13,80000,738290,738839,0,0,25,0,0,685749,1,3,0,8,788,549,0
270,1,23,7,44582.83,8.7,14,180000,738251,739043,0,0,26,0,0,565604,1,3,7,6,676,792,0
271,12,30,1,10831.61,7.41,16,60000,738676,738981,6178.97,2,12,1,2,452478,3,3,9,5,381,305,1
272,179,14,2,43008.45,5.2,5,3000,738024,738846,0,0,34,0,0,354771,3,1,0,6,503,822,0
273,83,26,2,45595.88,10.56,8,120000,738440,739018,7385.67,2,20,1,2,370582,3,2,8,2,463,578,1
