Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,prom_horas_mes,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)","renuncio (1 Si, 0 No)"
Empleado 47,0.4,0.55,2,147,3,0,0,0,1
Empleado 48,0.57,0.7,3,273,6,0,0,0,1
Empleado 49,0.4,0.54,2,148,3,0,0,0,1
Empleado 50,0.43,0.47,2,147,3,0,0,0,1
Empleado 51,0.13,0.78,6,152,2,0,0,0,1
Empleado 52,0.44,0.55,2,135,3,0,0,0,1
Empleado 53,0.38,0.55,2,134,3,0,0,0,1
Empleado 54,0.39,0.54,2,132,3,0,0,0,1
Empleado 55,0.1,0.92,7,307,4,0,0,0,1
Empleado 56,0.37,0.46,2,140,3,0,0,0,1
Empleado 57,0.11,0.94,7,255,4,0,0,0,1
Empleado 58,0.1,0.81,6,309,4,0,0,0,1
Empleado 59,0.38,0.54,2,128,3,0,0,0,1
Empleado 60,0.85,1,4,225,5,0,0,0,1
Empleado 61,0.85,0.91,5,226,5,0,0,1,1
Empleado 62,0.11,0.93,7,308,4,0,0,1,1
Empleado 63,0.1,0.95,6,244,5,0,0,1,1
Empleado 64,0.36,0.56,2,132,3,0,0,1,1
Empleado 65,0.11,0.94,6,286,4,0,0,1,1
Empleado 66,0.81,0.7,6,161,4,0,0,1,1
Empleado 67,0.43,0.54,2,153,3,0,0,1,1
Empleado 68,0.9,0.98,4,264,6,0,0,1,1
Empleado 69,0.76,0.86,5,223,5,1,0,1,1
Empleado 70,0.43,0.5,2,135,3,0,0,1,1
Empleado 71,0.74,0.99,2,277,3,0,0,1,1
Empleado 72,0.09,0.77,5,275,4,0,0,1,1
Empleado 73,0.45,0.49,2,149,3,0,0,2,1
Empleado 74,0.09,0.87,7,295,4,0,0,0,1
Empleado 75,0.11,0.97,6,277,4,0,0,1,1
Empleado 76,0.11,0.79,7,306,4,0,0,1,1
Empleado 77,0.1,0.83,6,295,4,0,0,1,1
Empleado 78,0.4,0.54,2,137,3,0,0,1,1
Empleado 79,0.43,0.56,2,157,3,0,0,0,1
Empleado 80,0.39,0.56,2,142,3,0,0,0,1
Empleado 81,0.45,0.54,2,140,3,0,0,0,1
Empleado 82,0.38,0.49,2,151,3,0,0,0,1
Empleado 83,0.79,0.59,4,139,3,0,1,0,1
Empleado 84,0.84,0.85,4,249,6,0,0,0,1
Empleado 85,0.11,0.77,6,291,4,0,0,0,1
Empleado 86,0.11,0.87,6,305,4,0,0,0,1
Empleado 87,0.17,0.84,5,232,3,0,0,0,1
Empleado 88,0.44,0.45,2,132,3,0,0,0,1
Empleado 89,0.37,0.57,2,130,3,0,0,0,1
Empleado 90,0.1,0.79,6,291,4,0,0,0,1
Empleado 91,0.4,0.5,2,130,3,0,0,0,1
Empleado 92,0.89,1,5,246,5,0,0,0,1
Empleado 93,0.42,0.48,2,143,3,0,0,0,1
Empleado 94,0.46,0.55,2,129,3,0,0,0,1
Empleado 95,0.09,0.83,6,255,4,0,0,0,1
Empleado 96,0.37,0.51,2,155,3,0,0,0,1
Empleado 97,0.1,0.77,6,265,4,0,0,0,1
Empleado 98,0.1,0.84,6,279,4,0,0,0,1
Empleado 99,0.11,0.97,6,284,4,0,0,0,1
Empleado 100,0.9,1,5,221,6,0,0,1,1
Empleado 101,0.38,0.52,2,154,3,0,0,1,1
Empleado 102,0.36,0.52,2,147,3,0,0,1,1
Empleado 103,0.42,0.46,2,150,3,0,0,1,1
Empleado 104,0.09,0.94,7,267,4,0,0,1,1
Empleado 105,0.43,0.52,2,158,3,0,0,1,1
Empleado 106,0.24,0.46,7,224,5,0,0,1,1
Empleado 107,0.91,1,4,257,5,0,0,1,1
Empleado 108,0.44,0.5,2,148,3,0,0,1,1
Empleado 109,0.71,0.87,3,177,4,0,0,1,1
Empleado 110,0.4,0.49,2,155,3,0,0,1,1
Empleado 111,0.43,0.47,2,144,3,0,0,1,1
Empleado 112,0.09,0.85,6,289,4,0,0,2,1
Empleado 113,0.43,0.52,2,160,3,0,0,0,1
Empleado 114,0.9,0.96,4,258,5,0,0,1,1
Empleado 115,0.84,1,5,234,5,0,0,1,1
Empleado 116,0.37,0.48,2,137,3,0,0,1,1
Empleado 117,0.86,0.68,5,263,2,0,0,1,1
Empleado 118,0.11,0.84,6,251,4,0,0,0,1
Empleado 119,0.37,0.57,2,133,3,0,0,0,1
Empleado 120,0.4,0.46,2,132,3,0,0,0,1
Empleado 121,0.14,0.62,4,158,4,1,0,0,1
Empleado 122,0.4,0.46,2,135,3,0,0,0,1
Empleado 123,0.75,1,4,216,6,0,0,0,1
Empleado 124,0.11,0.84,6,300,5,1,0,0,1
Empleado 125,0.46,0.49,2,138,3,0,0,0,1
Empleado 126,0.11,0.92,6,260,4,0,0,0,1
Empleado 127,0.38,0.49,2,132,3,0,0,0,1
Empleado 128,0.7,0.89,3,183,5,0,0,0,1
Empleado 129,0.09,0.82,6,250,4,0,0,0,1
Empleado 130,0.37,0.45,2,151,3,0,0,0,1
Empleado 131,0.1,0.83,6,292,4,0,0,0,1
Empleado 132,0.38,0.57,2,140,3,0,0,0,1
Empleado 133,0.9,1,5,221,5,0,0,0,1
Empleado 134,0.44,0.51,2,138,3,0,0,0,1
Empleado 135,0.36,0.5,2,132,3,0,0,0,1
Empleado 136,0.31,0.84,7,133,5,0,0,0,1
Empleado 137,0.1,0.84,6,283,4,1,0,0,1
Empleado 138,0.42,0.48,2,129,3,0,0,0,1
Empleado 139,0.74,1,4,249,5,0,0,0,1
Empleado 140,0.73,0.87,5,257,5,0,0,0,1
Empleado 141,0.09,0.96,6,245,4,0,0,0,1
Empleado 142,0.45,0.53,2,155,3,0,0,0,1
Empleado 143,0.11,0.8,6,256,4,0,0,0,1
Empleado 144,0.37,0.47,2,152,3,0,0,0,1
Empleado 145,0.84,0.99,4,267,5,0,0,0,1
Empleado 146,0.41,0.46,2,151,3,0,0,0,1
Empleado 147,0.76,0.92,4,239,5,0,0,0,1
Empleado 148,0.11,0.87,6,306,4,0,0,0,1
Empleado 149,0.84,0.88,4,263,5,1,0,0,1
Empleado 150,0.39,0.5,2,147,3,0,0,0,1
Empleado 151,0.11,0.91,6,278,4,0,0,0,1
Empleado 152,0.45,0.56,2,154,3,0,0,0,1
Empleado 153,0.37,0.52,2,143,3,0,0,0,1
Empleado 154,0.4,0.52,2,155,3,0,0,0,1
Empleado 155,0.39,0.48,2,160,3,0,0,0,1
Empleado 156,0.11,0.8,6,304,4,0,0,0,1
Empleado 157,0.83,1,5,240,5,0,0,0,1
Empleado 158,0.11,0.92,6,305,4,0,0,0,1
Empleado 159,0.39,0.5,2,136,3,0,0,0,1
Empleado 160,0.45,0.45,2,132,3,0,0,0,1
Empleado 161,0.1,0.95,7,301,4,0,0,0,1
Empleado 162,0.9,0.98,5,243,6,0,0,0,1
Empleado 163,0.45,0.51,2,147,3,0,0,0,1
Empleado 164,0.79,0.89,5,239,5,0,0,0,1
Empleado 165,0.9,0.99,5,260,5,0,0,0,1
Empleado 166,0.11,0.84,7,296,4,0,0,0,1
Empleado 167,0.43,0.55,2,129,3,0,0,0,1
Empleado 168,0.31,0.54,5,132,5,0,0,0,1
Empleado 169,0.32,0.5,2,135,5,0,0,0,1
Empleado 170,0.45,0.57,2,158,3,0,0,0,1
Empleado 171,0.81,0.99,4,259,5,0,0,0,1
Empleado 172,0.41,0.46,2,160,3,0,1,0,1
Empleado 173,0.11,0.78,7,278,4,0,0,0,1
Empleado 174,0.1,0.88,6,284,4,0,0,0,1
Empleado 175,0.7,0.53,2,274,4,0,0,0,1
Empleado 176,0.54,0.74,4,164,2,0,0,0,1
Empleado 177,0.41,0.48,2,148,3,0,0,0,1
Empleado 178,0.38,0.5,2,140,3,0,0,1,1
Empleado 179,0.37,0.51,2,127,3,0,0,1,1
Empleado 180,0.11,0.85,6,308,5,0,0,1,1
Empleado 181,0.4,0.47,2,146,3,0,0,1,1
Empleado 182,0.1,0.84,6,261,4,0,0,1,1
Empleado 183,0.89,0.99,5,257,5,0,0,1,1
Empleado 184,0.11,0.8,6,285,4,0,0,1,1
Empleado 185,0.36,0.55,2,141,3,0,0,1,1
Empleado 186,0.4,0.46,2,127,3,0,0,1,1
Empleado 187,0.09,0.85,6,297,4,0,0,1,1
Empleado 188,0.4,0.46,2,143,3,0,0,1,1
Empleado 189,0.37,0.55,2,152,3,0,0,1,1
Empleado 190,0.44,0.51,2,156,3,0,0,2,1
Empleado 191,0.09,0.8,7,283,5,0,0,0,1
Empleado 192,0.92,0.87,4,226,6,1,0,1,1
Empleado 193,0.74,0.91,4,232,5,0,0,1,1
Empleado 194,0.09,0.82,6,249,4,0,0,1,1
Empleado 195,0.89,0.95,4,275,5,0,0,1,1
Empleado 196,0.09,0.8,6,304,4,0,0,0,1
Empleado 197,0.27,0.54,7,278,3,0,0,0,1
Empleado 198,0.1,0.91,6,287,4,0,0,0,1
Empleado 199,0.1,0.89,7,285,4,0,0,0,1
Empleado 200,0.77,0.94,5,226,6,0,0,0,1
Empleado 201,0.9,0.82,5,259,5,0,0,0,1
Empleado 202,0.39,0.5,2,135,3,0,0,0,1
Empleado 203,0.76,1,5,219,5,0,0,0,1
Empleado 204,0.1,0.93,6,256,4,0,0,0,1
Empleado 205,0.87,0.9,5,254,6,0,0,0,1
Empleado 206,0.38,0.5,2,153,3,0,0,0,1
Empleado 207,0.77,0.99,5,228,5,0,0,0,1
Empleado 208,0.78,0.87,4,228,5,0,0,0,1
Empleado 209,0.44,0.5,2,128,3,0,0,0,1
Empleado 210,0.38,0.52,2,153,3,0,0,0,1
Empleado 211,0.43,0.46,2,156,3,0,0,0,1
Empleado 212,0.39,0.5,4,294,3,0,0,0,1
Empleado 213,0.88,1,5,219,5,0,0,0,1
Empleado 214,0.45,0.46,2,153,3,0,0,0,1
Empleado 215,0.4,0.53,2,151,3,0,0,0,1
Empleado 216,0.36,0.51,2,155,3,0,0,0,1
Empleado 217,0.36,0.48,2,158,3,0,0,0,1
Empleado 218,0.9,0.98,5,245,5,0,0,0,1
Empleado 219,0.43,0.53,2,131,3,0,0,0,1
Empleado 220,0.89,0.87,5,225,5,0,0,0,1
Empleado 221,0.1,0.84,6,286,4,0,0,0,1
Empleado 222,0.37,0.5,2,135,3,0,0,0,1
Empleado 223,0.37,0.51,2,153,3,0,0,0,1
Empleado 224,0.87,0.9,5,252,5,0,0,0,1
Empleado 225,0.4,0.56,2,149,3,0,0,0,1
Empleado 226,0.9,0.97,4,258,5,0,0,0,1
Empleado 227,0.37,0.46,2,158,3,0,0,0,1
Empleado 228,0.44,0.54,2,149,3,0,0,0,1
Empleado 229,0.85,0.95,5,236,5,0,0,0,1
Empleado 230,0.78,0.98,5,239,6,0,0,0,1
Empleado 231,0.42,0.47,2,159,3,0,0,0,1
Empleado 232,0.92,0.99,5,255,6,0,0,0,1
Empleado 233,0.11,0.83,6,244,4,0,0,0,1
Empleado 234,0.42,0.56,2,134,3,0,0,0,1
Empleado 235,0.48,0.57,4,270,4,0,0,0,1
Empleado 236,0.83,0.85,4,255,5,0,0,0,1
Empleado 237,0.4,0.53,2,151,3,0,0,0,1
Empleado 238,0.43,0.45,2,135,3,0,0,0,1
Empleado 239,0.43,0.53,2,146,3,0,0,0,1
Empleado 240,0.1,0.97,7,254,4,0,0,0,1
Empleado 241,0.1,0.87,7,289,4,0,0,0,1
Empleado 242,0.37,0.46,2,156,3,0,0,0,1
Empleado 243,0.38,0.53,2,156,3,0,0,0,1
Empleado 244,0.4,0.5,2,128,3,0,0,0,1
Empleado 245,0.89,0.86,5,275,5,0,0,0,1
Empleado 246,0.45,0.46,2,155,3,0,0,0,1
Empleado 247,0.37,0.48,2,159,3,0,0,0,1
Empleado 248,0.46,0.49,2,148,3,0,0,0,1
Empleado 249,0.87,0.91,4,228,5,0,0,0,1
Empleado 250,0.11,0.84,6,298,4,0,0,0,1
Empleado 251,0.79,0.87,5,261,5,0,0,0,1
Empleado 252,0.79,0.92,5,254,6,0,0,0,1
Empleado 253,0.19,0.59,7,192,3,0,0,0,1
Empleado 254,0.87,0.98,4,248,5,0,0,0,1
Empleado 255,0.6,0.92,2,258,5,0,0,0,1
Empleado 256,0.44,0.45,2,156,3,0,0,1,1
Empleado 257,0.11,0.81,6,266,4,1,0,1,1
Empleado 258,0.42,0.54,2,156,3,0,0,1,1
Empleado 259,0.88,0.88,5,232,5,1,0,1,1
Empleado 260,0.11,0.84,6,287,4,0,0,1,1
Empleado 261,0.46,0.46,2,154,3,0,0,1,1
Empleado 262,0.82,0.97,5,263,5,0,0,1,1
Empleado 263,0.44,0.56,2,131,3,0,0,1,1
Empleado 264,0.11,0.78,6,260,4,0,0,1,1
Empleado 265,0.42,0.5,2,139,3,0,0,1,1
Empleado 266,0.84,0.93,4,251,5,0,0,1,1
Empleado 267,0.11,0.95,6,286,4,0,0,1,1
Empleado 268,0.45,0.53,2,129,3,0,0,2,1
Empleado 269,0.38,0.56,2,156,3,0,0,0,1
Empleado 270,0.38,0.86,6,139,6,0,0,1,1
Empleado 271,0.44,0.51,2,127,3,0,0,1,1
Empleado 272,0.11,0.84,6,251,4,0,0,1,1
Empleado 273,0.81,0.93,5,270,5,0,0,1,1
Empleado 274,0.09,0.96,6,296,4,0,0,0,1
Empleado 275,0.11,0.9,6,254,4,0,0,0,1
Empleado 276,0.81,0.95,5,238,6,0,0,0,1
Empleado 277,0.1,0.97,6,267,4,1,0,0,1
Empleado 278,0.74,0.89,5,229,6,0,0,0,1
Empleado 279,0.09,0.78,6,254,4,0,0,0,1
Empleado 280,0.82,0.81,4,233,4,1,0,0,1
Empleado 281,0.1,0.98,6,268,4,0,0,0,1
Empleado 282,0.27,0.56,3,301,3,0,0,0,1
Empleado 283,0.83,0.92,5,267,6,0,0,0,1
Empleado 284,0.1,0.93,6,289,4,1,0,0,1
Empleado 285,0.38,0.47,2,144,3,0,0,0,1
Empleado 286,0.4,0.56,2,148,3,0,0,0,1
Empleado 287,0.11,0.83,6,306,4,0,0,0,1
Empleado 288,0.11,0.79,6,292,4,0,1,0,1
Empleado 289,0.82,0.91,5,232,5,0,0,0,1
Empleado 290,0.36,0.48,2,137,3,0,0,0,1
Empleado 291,0.4,0.46,2,128,3,0,0,0,1
Empleado 292,0.87,0.84,5,231,5,0,0,0,1
Empleado 293,0.41,0.49,2,146,3,0,0,0,1
Empleado 294,0.11,0.91,6,308,4,1,0,0,1
Empleado 295,0.1,0.93,6,253,4,0,0,1,1
Empleado 296,0.38,0.51,2,146,3,0,0,1,1
Empleado 297,0.39,0.55,2,156,3,0,0,1,1
Empleado 298,0.4,0.52,2,147,3,0,0,1,1
Empleado 299,0.45,0.48,2,136,3,0,0,1,1
Empleado 300,0.74,0.84,5,249,5,0,0,1,1
Empleado 301,0.45,0.55,2,151,3,0,0,1,1
Empleado 302,0.12,1,3,278,4,0,0,1,1
Empleado 303,0.1,0.77,7,250,5,0,0,1,1
Empleado 304,0.37,0.55,2,127,3,0,0,1,1
Empleado 305,0.89,0.87,5,255,5,0,0,1,1
Empleado 306,0.45,0.47,2,135,3,0,0,1,1
Empleado 307,0.37,0.46,2,149,3,0,0,2,1
Empleado 308,0.11,0.81,5,287,4,0,0,0,1
Empleado 309,0.41,0.48,2,145,3,0,0,1,1
Empleado 310,0.1,0.94,6,285,4,0,0,1,1
Empleado 311,0.1,0.93,7,305,4,0,0,1,1
Empleado 312,0.11,0.95,7,300,4,0,0,1,1
Empleado 313,0.4,0.54,2,139,3,0,0,0,1
Empleado 314,0.41,0.49,2,130,3,0,0,0,1
Empleado 315,0.1,0.81,6,268,4,0,0,0,1
Empleado 316,0.73,0.86,4,245,6,0,0,0,1
Empleado 317,0.43,0.47,2,135,3,0,0,0,1
Empleado 318,0.37,0.46,2,153,3,0,0,0,1
Empleado 319,0.11,0.94,6,276,4,0,0,0,1
Empleado 320,0.4,0.46,2,130,3,0,0,0,1
Empleado 321,0.41,0.54,2,153,3,1,0,0,1
Empleado 322,0.82,0.84,5,244,5,0,0,0,1
Empleado 323,0.61,0.47,2,253,3,0,0,0,1
Empleado 324,0.11,0.91,7,287,4,0,0,0,1
Empleado 325,0.37,0.45,2,131,3,0,0,0,1
Empleado 326,0.41,0.52,2,135,3,0,0,0,1
Empleado 327,0.37,0.52,2,157,3,0,0,0,1
Empleado 328,0.88,0.99,5,262,6,0,0,0,1
Empleado 329,0.1,0.85,6,266,4,0,0,0,1
Empleado 330,0.44,0.48,2,148,3,0,0,0,1
Empleado 331,0.38,0.57,2,140,3,0,0,0,1
Empleado 332,0.11,0.85,7,302,4,0,0,0,1
Empleado 333,0.09,0.98,6,271,4,0,0,0,1
Empleado 334,0.45,0.52,2,145,3,0,0,1,1
Empleado 335,0.1,0.81,6,290,4,0,0,1,1
Empleado 336,0.45,0.47,2,151,3,0,0,1,1
Empleado 337,0.77,0.87,5,266,5,0,0,1,1
Empleado 338,0.44,0.51,2,140,3,0,0,1,1
Empleado 339,0.39,0.5,2,142,3,0,0,1,1
Empleado 340,0.1,0.91,6,246,4,0,0,1,1
Empleado 341,0.09,0.89,7,308,5,0,0,1,1
Empleado 342,0.37,0.47,2,141,3,0,0,1,1
Empleado 343,0.9,1,5,232,5,0,0,1,1
Empleado 344,0.41,0.56,2,143,3,0,0,1,1
Empleado 345,0.37,0.52,2,155,3,0,0,1,1
Empleado 346,0.1,0.86,6,278,4,0,0,2,1
Empleado 347,0.81,1,4,253,5,0,0,0,1
Empleado 348,0.11,0.8,6,282,4,0,0,1,1
Empleado 349,0.11,0.84,7,264,4,0,0,1,1
Empleado 350,0.4,0.46,2,149,3,0,0,1,1
Empleado 351,0.09,0.8,6,304,5,0,0,1,1
Empleado 352,0.48,0.93,3,219,6,0,0,0,1
Empleado 353,0.91,0.91,4,262,6,0,0,0,1
Empleado 354,0.43,0.57,2,135,3,0,0,0,1
Empleado 355,0.33,0.88,6,219,5,0,0,0,1
Empleado 356,0.41,0.57,2,136,3,0,0,0,1
Empleado 357,0.41,0.55,2,154,3,0,0,0,1
Empleado 358,0.37,0.54,2,149,3,0,0,0,1
Empleado 359,0.31,0.62,6,135,5,0,0,0,1
Empleado 360,0.09,0.91,6,275,4,0,0,0,1
Empleado 361,0.1,0.87,6,290,4,0,0,0,1
Empleado 362,0.76,0.9,4,263,5,0,0,0,1
Empleado 363,0.41,0.54,2,145,3,0,0,0,1
Empleado 364,0.72,0.96,5,267,5,0,0,0,1
Empleado 365,0.4,0.5,2,141,3,1,0,0,1
Empleado 366,0.91,0.87,4,235,5,0,0,0,1
Empleado 367,0.1,0.83,6,258,4,0,0,0,1
Empleado 368,0.4,0.56,2,131,3,0,0,0,1
Empleado 369,0.82,0.86,5,243,5,0,0,0,1
Empleado 370,0.1,0.82,6,266,4,0,0,0,1
Empleado 371,0.37,0.45,2,142,3,0,0,0,1
Empleado 372,0.36,0.51,2,135,3,0,0,0,1
Empleado 373,0.39,0.48,2,141,3,0,0,1,1
Empleado 374,0.36,0.57,2,142,3,0,0,1,1
Empleado 375,0.86,0.84,5,254,5,0,0,1,1
Empleado 376,0.73,0.99,5,262,5,0,0,1,1
Empleado 377,0.56,0.71,4,296,2,0,0,1,1
Empleado 378,0.44,0.56,2,158,3,0,0,1,1
Empleado 379,0.31,0.56,4,238,2,0,0,1,1
Empleado 380,0.77,0.93,4,231,5,0,0,1,1
Empleado 381,0.44,0.45,2,156,3,0,0,1,1
Empleado 382,0.38,0.46,2,145,3,0,0,1,1
Empleado 383,0.45,0.48,2,144,3,0,0,1,1
Empleado 384,0.38,0.51,2,159,3,0,0,1,1
Empleado 385,0.36,0.48,2,156,3,0,0,2,1
Empleado 386,0.75,0.9,5,256,5,0,0,0,1
Empleado 387,0.1,0.93,6,298,4,0,0,1,1
Empleado 388,0.1,0.97,6,247,4,0,0,1,1
Empleado 389,0.45,0.5,2,157,3,0,0,1,1
Empleado 390,0.42,0.57,2,154,3,1,0,1,1
Empleado 391,0.78,1,4,253,5,0,0,0,1
Empleado 392,0.45,0.55,2,148,3,0,0,0,1
Empleado 393,0.84,1,4,261,5,0,0,0,1
Empleado 394,0.11,0.93,6,282,4,0,0,0,1
Empleado 395,0.42,0.56,2,133,3,0,0,0,1
Empleado 396,0.45,0.46,2,128,3,0,0,0,1
Empleado 397,0.46,0.57,2,139,3,0,0,0,1
Empleado 398,0.09,0.79,6,293,5,0,0,0,1
Empleado 399,0.87,0.83,4,265,6,0,0,0,1
Empleado 400,0.1,0.87,6,250,4,0,0,0,1
Empleado 401,0.91,1,5,251,6,0,0,0,1
Empleado 402,0.76,0.92,4,246,5,0,0,0,1
Empleado 403,0.74,1,5,275,5,0,0,0,1
Empleado 404,0.92,0.93,5,240,5,0,0,0,1
Empleado 405,0.76,0.87,5,245,5,0,0,0,1
Empleado 406,0.47,0.5,4,254,4,0,0,0,1
Empleado 407,0.73,0.99,5,241,5,0,0,0,1
Empleado 408,0.09,0.94,6,257,4,0,0,0,1
Empleado 409,0.91,0.92,4,246,5,0,0,0,1
Empleado 410,0.82,0.98,4,233,5,0,0,0,1
Empleado 411,0.28,0.45,6,218,4,0,0,0,1
Empleado 412,0.84,0.99,4,262,6,0,0,1,1
Empleado 413,0.45,0.53,2,138,3,0,0,1,1
Empleado 414,0.45,0.54,2,142,3,0,0,1,1
Empleado 415,0.91,0.97,5,233,5,0,0,1,1
Empleado 416,0.42,0.48,2,155,3,0,0,1,1
Empleado 417,0.82,1,4,229,6,0,0,1,1
Empleado 418,0.11,0.9,6,264,4,0,0,1,1
Empleado 419,0.42,0.53,3,199,4,0,0,1,1
Empleado 420,0.82,0.85,4,223,5,0,0,1,1
Empleado 421,0.09,0.96,6,268,4,0,0,1,1
Empleado 422,0.1,0.94,6,287,4,0,0,1,1
Empleado 423,0.86,1,5,257,5,0,0,1,1
Empleado 424,0.4,0.46,2,143,3,0,0,2,1
Empleado 425,0.45,0.46,2,130,3,0,0,0,1
Empleado 426,0.42,0.51,2,136,3,0,0,1,1
Empleado 427,0.74,0.92,4,261,5,0,0,1,1
Empleado 428,0.55,0.6,3,180,4,0,0,1,1
Empleado 429,0.37,0.45,2,126,3,0,0,1,1
Empleado 430,0.41,0.52,2,127,3,1,0,0,1
Empleado 431,0.89,0.65,5,195,6,0,0,0,1
Empleado 432,0.41,0.57,2,160,3,0,0,0,1
Empleado 433,0.44,0.51,2,150,3,0,0,0,1
Empleado 434,0.87,0.84,4,264,6,0,0,0,1
Empleado 435,0.1,0.84,6,309,4,0,0,0,1
Empleado 436,0.41,0.47,2,135,3,0,0,0,1
Empleado 437,0.11,0.85,6,261,4,0,0,0,1
Empleado 438,0.43,0.53,2,160,3,0,0,0,1
Empleado 439,0.77,0.9,4,237,5,0,0,0,1
Empleado 440,0.41,0.52,2,136,3,0,0,0,1
Empleado 441,0.41,0.48,2,139,3,0,0,0,1
Empleado 442,0.36,0.78,2,151,4,0,0,0,1
Empleado 443,0.77,1,5,229,5,0,0,0,1
Empleado 444,0.81,0.98,5,245,5,0,0,0,1
Empleado 445,0.39,0.54,2,127,3,0,0,0,1
Empleado 446,0.09,0.94,6,283,5,0,0,0,1
Empleado 447,0.44,0.46,2,143,3,0,0,0,1
Empleado 448,0.1,0.84,5,298,4,0,0,0,1
Empleado 449,0.36,0.48,2,159,3,0,0,0,1
Empleado 450,0.81,0.92,5,239,5,0,0,0,1
Empleado 451,0.81,0.9,4,226,5,0,0,1,1
Empleado 452,0.85,0.98,5,248,5,0,0,1,1
Empleado 453,0.1,0.87,6,286,4,0,0,1,1
Empleado 454,0.37,0.54,2,145,3,0,0,1,1
Empleado 455,0.09,0.97,7,254,4,1,0,1,1
Empleado 456,0.44,0.53,2,127,3,0,0,1,1
Empleado 457,0.86,0.93,5,223,5,0,0,1,1
Empleado 458,0.77,1,4,255,5,0,0,1,1
Empleado 459,0.41,0.48,2,136,3,0,0,1,1
Empleado 460,0.4,0.48,2,137,3,0,0,1,1
Empleado 461,0.43,0.49,2,135,3,0,0,1,1
Empleado 462,0.43,0.5,2,137,3,0,0,1,1
Empleado 463,0.8,0.53,3,255,5,0,0,2,1
Empleado 464,0.8,0.85,4,273,5,0,0,0,1
Empleado 465,0.82,0.98,5,234,5,0,0,1,1
Empleado 466,0.37,0.54,2,152,3,0,0,1,1
Empleado 467,0.37,0.48,2,134,3,0,0,1,1
Empleado 468,0.09,0.95,6,292,4,0,0,1,1
Empleado 469,0.9,0.92,5,245,5,0,0,0,1
Empleado 470,0.41,0.52,2,159,3,0,0,0,1
Empleado 471,0.1,0.85,6,260,4,0,0,0,1
Empleado 472,0.44,0.53,2,149,3,0,0,0,1
Empleado 473,0.89,0.85,5,266,5,0,0,0,1
Empleado 474,0.42,0.56,2,149,3,0,0,0,1
Empleado 475,0.87,1,5,242,5,0,0,0,1
