user_id,edad,genero,pais,tipo_plan,cursos_inscritos,cursos_completados,horas_totales_plataforma,ultima_actividad_dias,nivel_satisfaccion,uso_dispositivo,contacto_soporte,churn
59,34,1,3,2,3,1,16.8,12,1,1,0,0
60,53,1,2,2,2,2,12.7,0,2,2,0,0
61,57,1,4,3,5,0,32.7,75,3,1,0,1
62,21,0,1,1,2,5,3.8,9,1,2,0,1
63,19,0,1,2,2,3,2.6,26,2,2,0,0
64,23,0,3,3,2,2,5.0,18,2,1,1,0
65,59,0,1,3,3,2,7.4,21,5,1,0,0
66,21,1,1,2,2,2,17.3,88,1,2,0,0
67,46,0,5,2,2,1,2.7,10,1,2,0,1
68,35,0,2,0,2,1,5.5,74,5,0,1,0
69,43,1,5,2,1,0,2.3,89,3,2,0,1
70,61,0,1,3,3,4,19.7,15,3,1,0,0
71,51,1,0,3,0,1,1.8,28,4,1,0,0
72,27,0,5,3,1,4,5.4,29,4,1,0,0
73,53,2,1,3,6,0,6.0,10,5,1,0,0
74,31,1,1,2,1,2,10.5,56,1,1,1,1
75,48,0,2,2,5,1,3.2,64,2,3,1,0
76,32,0,3,2,2,3,7.7,5,3,1,0,0
77,25,2,4,1,5,3,16.4,76,1,2,0,1
78,31,0,5,1,3,1,6.9,34,4,1,1,0
79,40,0,5,1,0,3,4.7,58,3,1,0,0
80,57,1,5,3,1,1,8.5,13,2,1,0,0
81,38,1,1,1,3,1,32.7,42,4,3,0,0
82,33,1,2,1,0,2,2.1,45,2,1,0,0
83,62,2,1,1,1,2,0.6,21,4,2,0,0
84,35,0,1,2,0,3,7.6,59,2,1,0,1
85,64,0,3,1,4,2,13.3,84,3,1,0,0
86,41,2,0,2,1,4,5.7,1,5,1,0,0
87,43,1,2,1,0,0,6.2,68,2,1,1,1
88,42,1,5,3,2,2,24.8,14,3,1,0,0
89,62,1,4,0,4,0,7.9,49,1,1,1,0
90,58,1,5,0,4,1,8.2,83,1,1,0,1
91,46,1,1,2,4,2,15.3,89,4,1,1,0
92,32,0,2,2,1,2,6.5,55,5,1,0,0
93,62,1,2,2,3,2,5.1,62,4,2,0,1
94,18,1,2,2,2,2,11.9,87,2,1,0,1
95,42,1,0,2,1,5,4.8,34,5,1,0,0
96,24,1,5,1,0,2,3.3,87,2,1,0,0
97,26,2,0,3,4,3,2.5,25,3,0,1,0
98,41,0,3,1,2,1,13.1,85,5,2,0,0
99,18,2,4,2,2,2,34.3,26,1,3,0,0
100,61,1,3,2,1,1,1.6,18,3,1,0,0
101,25,1,1,2,3,1,6.2,36,3,1,0,0
102,41,0,0,3,4,4,12.1,35,2,2,0,1
103,28,1,0,2,6,0,10.2,39,4,1,1,0
104,34,1,3,2,2,0,11.5,62,2,1,0,1
105,25,1,1,2,2,3,10.1,38,3,1,0,0
106,52,1,2,1,3,2,9.0,11,5,1,0,0
107,52,1,1,2,2,4,19.9,43,1,3,1,0
108,50,1,5,0,1,1,4.1,79,3,1,0,1
109,22,0,3,0,1,2,2.5,47,4,2,0,0
110,59,1,1,3,2,2,12.8,78,4,1,1,1
111,56,1,2,1,3,2,3.6,32,5,1,0,0
112,58,0,1,1,6,3,1.3,78,4,2,0,0
113,45,1,0,2,1,0,31.4,31,5,3,1,1
114,24,1,4,3,1,2,5.1,21,4,1,0,0
115,26,0,0,3,2,1,23.2,5,2,1,0,1
116,25,1,4,3,3,3,1.3,29,1,1,0,0
117,29,1,1,2,1,1,11.7,16,1,2,0,0
118,51,0,5,1,3,1,5.5,1,3,1,0,0
119,50,1,1,1,7,1,10.5,79,3,2,1,0
120,40,0,2,1,0,4,4.4,54,2,0,1,0
121,41,0,1,2,1,0,10.2,11,2,1,0,1
122,54,1,4,1,4,1,15.9,11,1,0,0,0
123,52,0,0,3,3,2,6.9,50,3,3,0,0
124,61,0,5,2,4,4,9.5,47,3,2,0,0
125,57,1,1,2,1,3,2.9,38,1,2,0,0
126,39,0,1,1,3,1,7.1,80,5,1,0,0
127,44,1,0,1,4,1,8.2,69,2,1,0,1
128,52,0,5,3,4,1,24.2,89,3,1,0,0
129,18,1,3,2,3,1,3.5,0,1,1,1,0
130,52,0,1,2,3,3,3.3,15,2,2,0,1
131,54,1,1,3,3,3,8.4,45,1,3,0,1
132,64,0,3,2,2,2,6.7,62,5,0,1,0
133,31,1,4,2,2,2,4.6,58,4,2,0,0
134,20,1,4,3,4,4,18.3,46,3,1,1,0
135,18,0,2,3,3,1,3.0,15,2,1,0,1
136,22,0,0,2,2,1,1.7,45,1,0,0,0
137,43,0,5,2,2,0,3.8,79,1,3,0,1
138,31,0,1,2,4,1,14.6,38,2,2,1,1
139,56,0,1,3,1,3,12.1,49,3,1,0,0
140,44,0,2,2,6,4,8.3,48,3,2,1,0
141,26,1,1,3,3,3,1.8,25,1,3,0,0
142,32,0,0,3,2,1,5.8,32,3,2,0,0
143,32,0,2,0,3,3,8.4,19,4,0,0,0
144,43,2,0,1,5,1,4.6,76,5,1,0,0
145,59,0,2,1,3,4,12.5,71,5,0,0,1
146,30,1,1,1,2,4,1.0,81,4,2,0,0
147,49,1,2,3,0,3,14.2,40,3,2,0,0
148,56,0,4,2,4,0,6.6,10,1,1,0,0
149,49,0,5,1,4,2,21.4,54,3,1,0,0
150,21,0,1,1,3,1,21.9,46,2,2,0,0
151,47,0,3,2,6,1,26.3,77,2,1,0,1
152,54,0,5,1,3,1,8.3,49,3,1,0,0
153,40,1,1,1,1,0,21.2,22,4,2,0,0
154,56,0,5,2,1,3,10.9,60,2,1,0,0
155,62,1,4,1,4,1,1.3,6,5,1,1,0
156,32,1,5,1,3,2,4.1,14,1,1,0,1
157,60,0,2,3,1,2,16.6,78,4,2,0,0
158,46,0,5,3,1,0,3.2,8,2,1,0,1
159,53,1,1,2,1,2,10.8,84,1,2,1,0
160,30,1,3,1,2,2,9.4,36,5,1,0,0
161,49,2,3,3,3,1,4.2,58,2,1,0,0
162,24,1,0,2,1,4,49.5,27,2,1,0,0
163,39,0,5,1,2,4,25.9,5,1,1,0,0
164,45,0,3,1,2,2,5.9,9,1,1,1,0
165,19,0,5,1,4,7,2.4,14,3,2,0,0
166,59,0,3,2,2,1,6.4,87,2,3,0,0
167,62,1,5,3,3,2,12.1,3,5,3,0,0
168,23,0,1,3,3,3,3.7,57,1,0,1,0
169,45,1,5,2,2,2,8.5,14,4,1,0,0
170,45,0,1,2,3,3,7.5,36,2,2,0,0
171,61,1,1,2,2,5,11.8,1,4,1,0,0
172,61,0,0,2,2,2,10.7,46,2,1,1,0
173,37,1,3,1,1,0,7.5,27,1,1,0,1
174,47,1,2,2,5,2,4.8,68,3,1,0,0
175,28,1,1,3,8,2,18.3,86,2,0,0,1
176,45,1,3,2,4,4,13.2,72,1,2,0,0
177,42,0,4,3,1,1,14.0,70,1,2,0,1
178,56,1,5,2,5,0,2.9,67,1,1,0,1
179,50,2,4,2,4,2,9.1,18,4,2,0,0
180,18,2,5,1,1,1,11.6,7,1,1,0,0
181,44,0,0,2,5,0,4.8,30,4,0,0,0
182,30,1,1,3,1,3,9.8,13,5,1,0,0
183,58,1,2,2,3,4,6.7,28,3,1,1,0
184,20,0,1,1,3,6,6.9,8,1,2,0,0
185,56,1,5,1,5,1,2.7,69,5,2,1,1
186,23,1,2,2,2,2,5.1,59,1,0,0,1
187,25,0,1,2,1,4,21.2,44,5,2,0,0
188,44,0,2,2,1,0,11.5,73,1,1,0,1
189,26,0,5,0,0,1,18.3,53,3,1,0,0
190,54,1,0,3,5,2,16.3,44,1,1,0,1
191,50,0,0,2,5,4,1.8,2,4,1,0,0
192,59,1,1,1,2,4,10.4,75,1,1,0,0
193,61,1,4,1,3,2,9.7,35,2,2,0,0
194,41,0,5,2,3,1,29.7,10,4,2,0,0
195,32,1,1,3,1,2,9.5,72,5,3,0,0
196,49,1,1,3,2,2,8.7,5,1,2,0,0
197,49,1,0,2,3,1,3.4,75,1,2,0,1
198,41,0,2,1,7,2,9.4,40,1,1,0,0
199,58,0,5,0,4,2,10.2,71,2,1,0,1
200,29,0,2,0,2,2,3.7,40,3,3,1,0
201,56,0,3,2,2,2,13.7,76,3,2,0,1
202,19,1,3,1,1,4,12.9,61,4,1,0,0
203,20,0,5,2,2,4,21.5,8,4,1,0,0
204,54,1,4,3,4,1,5.3,83,2,2,1,1
205,34,1,3,2,1,2,7.2,9,2,2,0,0
206,19,0,0,3,7,3,16.0,40,2,1,0,0
207,19,2,4,1,1,2,4.2,26,5,1,1,0
208,45,1,1,1,4,5,14.4,52,2,1,0,1
209,40,1,3,1,2,1,15.2,3,2,2,0,0
210,54,1,0,0,1,1,8.3,9,2,1,0,0
211,49,1,1,2,7,2,8.5,48,2,2,0,0
212,50,2,4,3,5,1,8.1,18,3,1,0,0
213,18,0,5,1,4,2,10.7,73,1,2,0,1
214,36,0,1,0,4,0,8.5,49,1,0,0,0
215,19,0,2,3,3,1,3.8,47,3,2,1,0
216,61,1,5,1,5,1,4.2,22,2,2,0,0
217,43,0,5,3,2,0,7.9,8,5,1,1,0
218,49,1,4,1,3,0,9.5,65,5,0,0,1
219,23,0,4,1,5,0,7.8,18,4,2,0,1
220,49,2,0,1,5,3,15.1,71,1,2,1,1
221,21,0,0,0,3,1,9.4,89,4,1,0,0
222,28,1,2,0,2,2,28.1,50,2,1,1,1
223,34,0,5,2,0,2,8.5,10,4,1,0,0
224,55,1,2,3,3,3,14.3,2,2,2,0,0
225,41,1,2,2,2,0,7.2,60,4,1,0,0
226,22,1,4,3,0,1,7.7,81,3,1,0,0
227,51,1,2,1,1,3,4.0,16,2,1,0,0
228,23,0,2,2,1,2,12.6,72,5,2,0,0
229,39,0,1,2,2,3,1.4,29,2,2,0,1
230,28,2,0,1,3,3,1.6,79,5,1,0,0
231,33,0,0,2,1,0,6.5,7,5,1,0,0
232,50,0,5,2,2,2,14.6,40,4,0,1,0
233,26,1,0,1,5,2,10.6,25,1,1,0,1
234,23,1,3,0,6,0,26.7,4,1,1,0,1
235,33,0,5,1,5,1,3.7,68,1,0,1,1
236,46,1,1,0,6,0,5.0,23,5,1,0,0
237,20,0,0,1,1,1,2.6,77,1,1,0,1
238,37,1,1,1,1,1,10.5,68,2,1,0,1
239,53,1,0,1,7,0,7.0,35,2,1,0,1
240,36,1,0,3,2,2,5.2,88,2,2,0,1
241,43,1,1,3,2,1,5.2,16,5,1,0,0
242,20,1,2,1,3,1,1.5,69,5,2,1,0
243,36,0,2,1,4,0,16.1,70,1,1,0,1
244,37,1,2,2,4,3,9.9,45,4,2,0,0
245,49,0,3,2,2,5,11.7,78,5,0,0,0
246,24,1,2,3,1,0,33.2,69,3,2,1,1
247,58,1,0,1,3,0,25.6,31,2,1,0,1
248,50,1,4,2,2,1,13.4,59,2,1,0,0
249,57,0,1,3,4,5,9.9,41,1,1,0,0
250,56,1,4,0,5,3,7.9,39,4,1,1,0
251,35,0,3,2,1,3,14.4,26,2,3,0,1
252,57,1,4,1,7,4,5.4,4,5,1,0,0
253,18,0,5,1,3,0,8.0,60,4,2,0,0
254,28,1,2,2,1,1,11.8,60,2,1,0,0
255,45,0,3,2,8,1,2.3,79,1,1,0,1
256,42,0,0,3,2,1,3.6,51,1,3,0,0
257,40,2,2,3,3,2,2.7,74,1,2,0,1
258,48,1,2,2,3,1,7.2,88,5,1,0,0
259,47,1,4,2,6,1,14.2,65,1,1,0,1
260,59,1,5,2,2,0,7.5,6,3,3,0,0
261,52,0,2,1,4,2,3.6,37,5,2,0,0
262,24,0,1,1,1,3,2.2,50,3,3,1,0
263,33,0,1,2,4,3,9.5,0,1,1,0,1
264,43,1,2,1,2,3,8.7,81,4,0,0,0
265,19,1,4,1,3,2,23.5,75,5,2,0,0
266,18,1,4,1,7,2,4.0,48,3,1,0,0
267,29,2,0,1,4,3,11.1,71,5,2,0,1
268,22,0,3,1,4,2,25.1,19,3,2,0,0
269,54,2,3,2,5,3,18.5,41,5,3,0,0
270,49,1,3,2,0,1,1.1,15,2,1,0,0
271,26,0,5,2,3,4,8.5,32,3,2,0,0
272,58,0,4,2,1,2,8.5,88,3,2,0,1
273,52,1,0,0,5,3,20.9,82,5,1,0,0
274,36,0,1,1,1,1,5.2,15,4,2,1,0
275,33,2,3,2,4,3,25.5,15,2,1,0,1
276,20,0,1,1,4,1,7.8,47,3,1,0,0
277,37,0,1,2,1,1,9.7,88,1,2,0,1
278,41,1,2,0,7,6,21.0,54,1,1,1,1
279,50,1,5,3,4,2,6.6,27,5,2,0,0
280,41,2,0,2,1,3,15.8,72,4,1,0,1
281,28,1,5,2,1,3,2.7,81,2,2,0,1
282,25,0,2,2,1,2,17.5,22,3,0,1,0
283,53,0,0,1,5,2,3.3,29,1,2,0,0
284,55,0,0,2,3,1,4.8,60,3,3,0,0
285,57,2,4,2,1,2,2.7,87,1,1,0,1
286,37,1,5,2,4,5,22.9,74,5,2,0,0
287,52,1,5,1,7,2,12.0,25,5,2,0,0
288,42,1,4,3,1,1,10.3,10,3,2,1,0
289,52,1,1,1,3,3,3.0,19,5,2,0,0
290,42,1,2,1,2,1,10.0,43,2,1,0,0
291,46,1,5,2,1,2,9.2,17,5,0,0,0
292,35,0,4,1,3,3,2.0,33,2,2,1,1
293,63,2,0,3,2,2,3.2,3,5,2,0,0
294,35,1,3,2,4,0,4.2,84,3,2,0,0
295,19,1,4,3,1,1,5.7,89,2,2,1,1
296,52,2,3,2,3,3,15.9,13,4,2,0,0
297,33,1,1,3,1,4,1.7,89,3,1,0,1
298,58,1,2,3,1,1,27.5,12,2,1,0,0
299,53,1,3,2,3,5,24.1,89,1,1,1,1
300,50,0,1,2,2,1,4.6,40,1,2,1,0
301,21,1,3,3,7,1,10.3,78,4,1,0,1
302,50,2,0,1,6,5,10.2,56,1,2,0,0
303,31,1,0,2,1,1,9.9,86,3,2,0,0
304,38,0,0,1,2,2,7.3,21,2,3,0,1
305,37,1,0,1,2,4,13.4,9,3,1,0,0
306,25,0,4,1,2,1,10.0,68,5,2,0,0
307,24,0,0,2,1,2,9.7,67,5,3,0,0
308,20,0,0,2,2,0,3.3,49,1,1,0,0
309,34,0,4,1,2,2,15.8,15,4,2,1,0
310,50,0,0,3,2,3,13.5,10,4,0,0,0
311,29,2,1,2,2,1,1.0,67,5,2,1,0
312,39,0,1,0,2,2,12.6,86,4,1,0,0
313,39,0,5,0,0,3,16.5,66,4,1,0,1
314,63,1,1,3,1,0,2.0,19,1,1,1,0
315,47,1,2,0,4,0,14.2,64,3,0,0,1
316,55,1,2,3,3,3,11.6,32,3,0,0,0
317,55,0,2,3,3,1,4.1,9,2,2,1,1
318,62,1,4,1,5,2,14.0,66,3,3,0,0
319,25,1,1,2,4,2,10.3,54,3,1,0,0
320,44,0,2,3,0,1,14.5,31,1,1,0,0
321,44,0,5,2,3,2,7.0,44,1,2,0,0
322,51,2,4,3,2,1,1.9,58,3,0,0,0
323,38,1,5,3,3,3,8.3,30,2,2,0,0
324,47,0,1,1,6,5,9.1,84,3,0,0,0
325,50,1,0,3,2,1,9.9,87,3,2,0,0
326,45,1,5,1,4,3,8.6,87,5,1,1,0
327,64,1,0,2,5,0,4.6,51,2,0,0,1
328,50,1,4,2,6,1,7.1,9,3,1,1,0
329,22,1,5,1,2,2,3.7,5,1,1,0,1
330,36,0,5,2,3,2,6.5,0,3,2,0,0
331,21,1,3,2,1,0,7.8,45,4,1,1,0
332,52,0,4,1,5,2,4.5,73,5,2,1,1
333,34,0,4,3,6,0,3.2,29,5,1,0,1
334,61,1,2,2,4,2,11.0,78,5,2,1,1
335,45,0,1,2,3,3,3.6,77,2,2,1,1
336,47,1,5,1,4,3,10.0,62,5,1,1,0
337,46,0,5,3,8,2,19.8,87,3,0,0,1
338,63,1,4,3,2,5,10.7,62,2,2,0,1
339,23,1,4,1,5,2,12.0,73,4,3,0,0
340,52,1,1,1,2,3,9.2,89,1,1,1,1
341,58,0,4,3,4,0,5.7,0,5,1,0,0
342,54,2,0,2,4,1,9.7,19,3,0,0,0
343,41,1,0,1,2,1,6.8,28,2,1,0,1
344,46,0,3,2,3,1,18.2,33,3,1,1,0
345,63,0,0,2,5,2,14.8,65,5,2,0,1
346,48,2,0,3,2,1,6.9,65,1,2,0,1
347,52,0,1,1,3,5,4.2,1,2,2,0,1
348,50,0,5,2,1,0,6.6,71,3,2,1,1
349,38,0,0,1,5,0,6.7,53,2,1,0,1
350,49,0,3,0,1,2,5.6,88,5,2,0,0
351,40,1,4,3,3,2,3.7,17,5,1,0,0
352,50,1,0,3,2,0,9.9,80,4,2,0,1
353,20,1,3,2,5,3,6.7,29,4,2,0,0
354,35,0,1,2,6,2,0.9,7,5,1,0,0
355,42,0,4,0,1,0,12.4,41,2,1,0,0
356,59,1,3,1,6,3,11.6,28,3,1,0,0
357,48,0,0,3,2,5,16.6,50,3,3,0,0
358,20,0,5,1,4,1,18.7,82,2,2,0,1
359,57,1,4,2,2,2,4.0,23,1,2,0,1
360,63,2,4,2,4,0,2.7,81,2,1,0,1
361,41,1,5,3,2,1,5.4,9,5,1,0,0
362,49,1,4,3,2,3,18.6,15,5,2,0,0
363,64,0,0,2,3,0,5.9,49,4,3,0,0
364,39,0,4,2,3,3,9.0,40,3,1,1,0
365,40,1,0,0,4,2,4.0,53,4,0,0,0
366,19,0,5,1,1,3,2.4,43,3,3,0,0
367,44,0,2,3,1,2,2.2,59,2,3,0,0
368,59,1,5,2,2,3,7.3,68,1,1,1,1
369,19,1,0,2,1,1,9.5,78,3,2,0,0
370,43,0,1,1,3,1,7.4,22,1,2,1,0
371,34,1,5,2,2,0,4.8,70,1,2,1,1
372,57,2,1,1,2,2,2.8,19,1,1,0,0
373,50,0,1,1,2,0,1.1,38,2,3,0,1
374,26,2,0,1,0,2,4.3,2,1,2,0,1
375,60,1,0,2,4,3,1.1,2,1,0,0,1
376,56,2,2,2,5,4,1.6,30,5,1,0,0
377,46,1,3,3,5,1,11.2,6,5,2,0,0
378,59,1,4,1,5,0,10.5,0,3,2,1,1
379,43,1,5,2,3,2,3.6,55,5,2,0,0
380,52,1,0,2,2,2,1.2,26,3,1,1,0
381,42,0,5,2,3,3,8.2,64,1,1,0,1
382,41,0,3,3,3,4,8.8,69,5,0,0,1
383,30,1,3,2,5,3,12.1,83,4,1,1,1
384,24,0,1,3,1,4,16.9,38,2,2,0,0
385,53,1,4,2,1,3,23.5,2,5,0,0,0
386,62,0,2,2,3,0,7.0,58,2,2,0,1
387,37,1,5,2,0,2,5.0,1,5,2,0,0
388,18,0,4,3,2,1,16.0,46,5,2,0,0
389,25,0,2,0,2,1,1.8,19,4,2,0,0
390,63,0,5,2,1,0,12.0,26,1,1,0,1
391,33,1,4,3,5,2,20.7,83,3,3,0,1
392,31,1,0,1,1,2,11.6,18,5,2,0,0
393,29,0,5,0,4,0,21.3,54,5,1,0,0
394,40,1,4,1,1,0,10.5,62,2,3,0,1
395,32,1,3,1,5,1,7.2,84,1,1,0,1
396,45,1,2,1,3,2,3.2,42,5,2,0,0
397,51,0,4,0,3,5,15.0,83,5,1,0,1
398,19,0,0,3,1,5,10.1,4,3,2,0,0
399,49,0,5,0,4,2,6.5,19,1,1,0,0
400,40,1,5,3,4,2,4.6,75,1,2,0,0
401,39,1,5,2,5,4,7.7,60,5,2,0,0
402,42,0,0,0,0,1,9.9,61,1,3,0,1
403,39,0,2,0,4,2,17.5,73,1,2,0,1
404,39,1,5,2,1,1,1.5,62,3,2,0,0
405,59,0,2,1,4,5,1.9,21,4,2,0,0
406,23,1,4,2,4,3,11.7,37,3,2,1,0
407,32,2,3,0,1,3,9.6,11,4,3,1,0
408,60,1,3,3,3,3,15.9,73,3,1,0,0
409,54,2,2,3,1,1,12.0,60,5,0,0,0
410,50,0,2,0,2,1,15.9,47,3,1,0,0
411,25,0,3,3,3,1,5.9,16,1,1,1,0
412,61,1,5,3,1,1,7.2,51,1,1,0,1
413,61,0,1,3,2,4,1.6,45,2,2,0,0
414,22,1,1,1,1,1,1.8,55,5,1,0,0
415,56,1,0,2,2,0,16.0,28,1,1,0,1
416,21,0,3,2,5,1,7.4,89,5,1,0,0
417,23,2,3,3,0,0,8.1,72,3,0,0,0
418,62,0,0,2,3,4,22.8,50,1,3,0,1
419,49,0,1,1,2,2,4.5,75,5,3,0,1
420,47,1,4,1,2,2,6.3,25,3,2,1,0
421,64,1,5,2,3,0,2.6,74,4,0,0,1
422,52,1,5,2,2,3,8.0,28,2,1,0,0
423,57,0,4,2,3,1,6.7,58,3,1,1,0
424,33,2,4,1,0,4,8.1,7,4,1,1,0
425,30,0,1,2,1,1,15.9,24,5,2,1,0
426,59,1,0,1,7,4,9.9,83,4,1,0,0
427,47,1,4,2,2,1,5.4,20,1,1,1,0
428,36,0,0,2,3,2,8.8,3,5,1,0,0
429,34,1,2,2,1,1,31.6,35,2,2,0,0
430,36,0,5,2,1,3,9.2,42,2,0,0,0
431,45,0,1,1,3,3,2.0,82,5,3,0,1
432,43,0,5,3,5,1,4.4,25,1,1,0,0
433,54,1,1,2,1,1,24.0,35,5,1,0,0
434,43,1,2,1,0,0,4.6,88,5,2,0,1
435,40,1,5,1,3,3,32.1,22,5,1,0,0
436,26,1,2,2,6,1,2.5,40,3,2,0,0
437,29,1,1,1,5,4,7.9,74,2,3,0,1
438,18,0,4,1,4,1,13.5,43,2,1,0,0
439,18,0,5,2,3,4,1.9,49,1,2,0,1
440,64,1,2,2,7,1,15.3,83,2,1,0,1
441,51,1,3,2,2,5,10.8,8,1,0,1,1
442,49,1,5,3,4,3,19.3,87,1,1,0,0
443,42,1,5,1,2,2,5.7,46,2,2,1,0
444,57,0,5,0,4,1,12.4,40,5,1,0,0
445,62,1,0,1,4,1,10.0,12,5,3,0,0
446,18,1,2,2,3,0,22.7,57,3,1,0,0
447,33,1,2,1,6,3,9.6,65,1,2,1,1
448,56,0,5,3,2,4,8.8,80,4,2,0,0
449,22,0,4,2,7,3,3.8,57,4,1,0,0
450,39,1,5,1,0,1,24.3,65,2,1,0,1
451,46,0,0,2,0,0,12.9,32,2,0,0,1
452,20,0,1,1,4,0,3.7,68,4,1,1,1
453,29,2,0,3,6,1,21.2,77,3,2,0,0
454,43,1,4,2,5,4,0.3,26,1,3,0,0
455,33,0,5,1,1,4,10.7,49,1,2,0,0
456,54,2,2,2,2,0,4.6,58,2,1,1,1
457,39,2,3,1,3,4,30.7,77,2,2,0,1
458,46,0,5,2,6,1,12.6,78,5,1,0,1
459,31,0,4,2,5,1,3.3,26,3,2,0,0
460,45,1,2,2,3,1,4.2,58,1,2,0,1
461,22,0,0,0,4,3,9.2,55,5,2,0,0
462,64,0,1,1,4,0,12.7,71,4,2,0,1
463,47,0,1,0,2,2,4.7,84,5,3,0,0
464,63,1,5,2,1,1,5.3,33,4,3,0,0
465,22,0,0,1,5,2,8.3,48,4,0,1,0
466,29,0,3,2,1,4,7.8,87,1,2,0,0
467,33,1,3,3,2,2,9.1,16,5,2,0,0
468,43,0,4,2,4,3,15.8,69,1,1,0,1
469,43,0,1,1,1,3,7.1,37,3,2,0,0
470,38,0,0,1,5,4,9.9,82,3,2,0,0
471,56,1,5,3,3,2,12.2,0,3,2,0,0
472,53,1,2,2,4,1,7.1,37,3,1,0,0
473,50,2,5,2,2,0,2.6,25,4,3,0,0
474,47,1,5,1,3,0,2.0,68,3,1,1,1
475,54,0,0,3,2,2,7.9,67,1,2,1,1
476,40,0,1,0,2,1,37.8,24,5,0,0,0
477,27,0,0,1,5,1,13.7,57,5,1,0,0
478,22,1,2,1,1,1,37.7,44,1,2,0,0
479,53,0,0,3,2,2,14.4,21,2,1,0,1
480,51,1,4,3,4,0,8.4,47,2,2,0,1
481,48,1,5,2,3,3,3.2,12,2,2,0,1
482,27,1,1,0,1,2,5.0,86,2,3,0,1
483,36,1,3,2,2,0,16.2,24,4,3,0,1
484,49,2,2,1,2,2,16.5,9,4,1,0,0
485,18,2,3,3,0,2,30.2,17,5,3,0,0
486,22,1,5,2,3,3,8.2,54,5,1,0,0
487,62,0,0,0,5,0,28.5,26,4,1,1,1
488,21,1,3,1,3,2,12.6,55,4,0,0,0
489,33,0,4,2,6,5,10.3,55,5,1,0,0
490,41,0,0,3,2,3,4.6,48,1,1,0,1
491,33,2,5,2,2,1,5.3,25,4,1,0,0
492,19,1,3,2,0,4,7.3,1,1,3,0,1
493,45,0,2,3,4,5,1.5,73,3,1,0,1
