Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)",prom_horas_mes
Empleado 39,0.11,0.89,6,4,0,0,0,306
Empleado 40,0.41,0.54,2,3,0,0,0,152
Empleado 41,0.87,0.88,5,5,0,0,0,269
Empleado 42,0.45,0.48,2,3,0,0,0,158
Empleado 43,0.4,0.46,2,3,0,0,0,127
Empleado 44,0.1,0.8,7,4,0,0,0,281
Empleado 45,0.09,0.89,6,4,0,0,0,276
Empleado 46,0.84,0.74,3,4,0,0,0,182
Empleado 47,0.4,0.55,2,3,0,0,0,147
Empleado 48,0.57,0.7,3,6,0,0,0,273
Empleado 49,0.4,0.54,2,3,0,0,0,148
Empleado 50,0.43,0.47,2,3,0,0,0,147
Empleado 51,0.13,0.78,6,2,0,0,0,152
Empleado 52,0.44,0.55,2,3,0,0,0,135
Empleado 53,0.38,0.55,2,3,0,0,0,134
Empleado 54,0.39,0.54,2,3,0,0,0,132
Empleado 55,0.1,0.92,7,4,0,0,0,307
Empleado 56,0.37,0.46,2,3,0,0,0,140
Empleado 57,0.11,0.94,7,4,0,0,0,255
Empleado 58,0.1,0.81,6,4,0,0,0,309
Empleado 59,0.38,0.54,2,3,0,0,0,128
Empleado 60,0.85,1,4,5,0,0,0,225
Empleado 61,0.85,0.91,5,5,0,0,1,226
Empleado 62,0.11,0.93,7,4,0,0,1,308
Empleado 63,0.1,0.95,6,5,0,0,1,244
Empleado 64,0.36,0.56,2,3,0,0,1,132
Empleado 65,0.11,0.94,6,4,0,0,1,286
Empleado 66,0.81,0.7,6,4,0,0,1,161
Empleado 67,0.43,0.54,2,3,0,0,1,153
Empleado 68,0.9,0.98,4,6,0,0,1,264
Empleado 69,0.76,0.86,5,5,1,0,1,223
Empleado 70,0.43,0.5,2,3,0,0,1,135
Empleado 71,0.74,0.99,2,3,0,0,1,277
Empleado 72,0.09,0.77,5,4,0,0,1,275
Empleado 73,0.45,0.49,2,3,0,0,2,149
Empleado 74,0.09,0.87,7,4,0,0,0,295
Empleado 75,0.11,0.97,6,4,0,0,1,277
Empleado 76,0.11,0.79,7,4,0,0,1,306
Empleado 77,0.1,0.83,6,4,0,0,1,295
Empleado 78,0.4,0.54,2,3,0,0,1,137
Empleado 79,0.43,0.56,2,3,0,0,0,157
Empleado 80,0.39,0.56,2,3,0,0,0,142
Empleado 81,0.45,0.54,2,3,0,0,0,140
Empleado 82,0.38,0.49,2,3,0,0,0,151
Empleado 83,0.79,0.59,4,3,0,1,0,139
Empleado 84,0.84,0.85,4,6,0,0,0,249
Empleado 85,0.11,0.77,6,4,0,0,0,291
Empleado 86,0.11,0.87,6,4,0,0,0,305
Empleado 87,0.17,0.84,5,3,0,0,0,232
Empleado 88,0.44,0.45,2,3,0,0,0,132
Empleado 89,0.37,0.57,2,3,0,0,0,130
Empleado 90,0.1,0.79,6,4,0,0,0,291
Empleado 91,0.4,0.5,2,3,0,0,0,130
Empleado 92,0.89,1,5,5,0,0,0,246
Empleado 93,0.42,0.48,2,3,0,0,0,143
Empleado 94,0.46,0.55,2,3,0,0,0,129
Empleado 95,0.09,0.83,6,4,0,0,0,255
Empleado 96,0.37,0.51,2,3,0,0,0,155
Empleado 97,0.1,0.77,6,4,0,0,0,265
Empleado 98,0.1,0.84,6,4,0,0,0,279
Empleado 99,0.11,0.97,6,4,0,0,0,284
Empleado 100,0.9,1,5,6,0,0,1,221
Empleado 101,0.38,0.52,2,3,0,0,1,154
Empleado 102,0.36,0.52,2,3,0,0,1,147
Empleado 103,0.42,0.46,2,3,0,0,1,150
Empleado 104,0.09,0.94,7,4,0,0,1,267
Empleado 105,0.43,0.52,2,3,0,0,1,158
Empleado 106,0.24,0.46,7,5,0,0,1,224
Empleado 107,0.91,1,4,5,0,0,1,257
Empleado 108,0.44,0.5,2,3,0,0,1,148
Empleado 109,0.71,0.87,3,4,0,0,1,177
Empleado 110,0.4,0.49,2,3,0,0,1,155
Empleado 111,0.43,0.47,2,3,0,0,1,144
Empleado 112,0.09,0.85,6,4,0,0,2,289
Empleado 113,0.43,0.52,2,3,0,0,0,160
Empleado 114,0.9,0.96,4,5,0,0,1,258
Empleado 115,0.84,1,5,5,0,0,1,234
Empleado 116,0.37,0.48,2,3,0,0,1,137
Empleado 117,0.86,0.68,5,2,0,0,1,263
Empleado 118,0.11,0.84,6,4,0,0,0,251
Empleado 119,0.37,0.57,2,3,0,0,0,133
Empleado 120,0.4,0.46,2,3,0,0,0,132
Empleado 121,0.14,0.62,4,4,1,0,0,158
Empleado 122,0.4,0.46,2,3,0,0,0,135
Empleado 123,0.75,1,4,6,0,0,0,216
Empleado 124,0.11,0.84,6,5,1,0,0,300
Empleado 125,0.46,0.49,2,3,0,0,0,138
Empleado 126,0.11,0.92,6,4,0,0,0,260
Empleado 127,0.38,0.49,2,3,0,0,0,132
Empleado 128,0.7,0.89,3,5,0,0,0,183
Empleado 129,0.09,0.82,6,4,0,0,0,250
Empleado 130,0.37,0.45,2,3,0,0,0,151
Empleado 131,0.1,0.83,6,4,0,0,0,292
Empleado 132,0.38,0.57,2,3,0,0,0,140
Empleado 133,0.9,1,5,5,0,0,0,221
Empleado 134,0.44,0.51,2,3,0,0,0,138
Empleado 135,0.36,0.5,2,3,0,0,0,132
Empleado 136,0.31,0.84,7,5,0,0,0,133
Empleado 137,0.1,0.84,6,4,1,0,0,283
Empleado 138,0.42,0.48,2,3,0,0,0,129
Empleado 139,0.74,1,4,5,0,0,0,249
Empleado 140,0.73,0.87,5,5,0,0,0,257
Empleado 141,0.09,0.96,6,4,0,0,0,245
Empleado 142,0.45,0.53,2,3,0,0,0,155
Empleado 143,0.11,0.8,6,4,0,0,0,256
Empleado 144,0.37,0.47,2,3,0,0,0,152
Empleado 145,0.84,0.99,4,5,0,0,0,267
Empleado 146,0.41,0.46,2,3,0,0,0,151
Empleado 147,0.76,0.92,4,5,0,0,0,239
Empleado 148,0.11,0.87,6,4,0,0,0,306
Empleado 149,0.84,0.88,4,5,1,0,0,263
Empleado 150,0.39,0.5,2,3,0,0,0,147
Empleado 151,0.11,0.91,6,4,0,0,0,278
Empleado 152,0.45,0.56,2,3,0,0,0,154
Empleado 153,0.37,0.52,2,3,0,0,0,143
Empleado 154,0.4,0.52,2,3,0,0,0,155
Empleado 155,0.39,0.48,2,3,0,0,0,160
Empleado 156,0.11,0.8,6,4,0,0,0,304
Empleado 157,0.83,1,5,5,0,0,0,240
Empleado 158,0.11,0.92,6,4,0,0,0,305
Empleado 159,0.39,0.5,2,3,0,0,0,136
Empleado 160,0.45,0.45,2,3,0,0,0,132
Empleado 161,0.1,0.95,7,4,0,0,0,301
Empleado 162,0.9,0.98,5,6,0,0,0,243
Empleado 163,0.45,0.51,2,3,0,0,0,147
Empleado 164,0.79,0.89,5,5,0,0,0,239
Empleado 165,0.9,0.99,5,5,0,0,0,260
Empleado 166,0.11,0.84,7,4,0,0,0,296
Empleado 167,0.43,0.55,2,3,0,0,0,129
Empleado 168,0.31,0.54,5,5,0,0,0,132
Empleado 169,0.32,0.5,2,5,0,0,0,135
Empleado 170,0.45,0.57,2,3,0,0,0,158
Empleado 171,0.81,0.99,4,5,0,0,0,259
Empleado 172,0.41,0.46,2,3,0,1,0,160
Empleado 173,0.11,0.78,7,4,0,0,0,278
Empleado 174,0.1,0.88,6,4,0,0,0,284
Empleado 175,0.7,0.53,2,4,0,0,0,274
Empleado 176,0.54,0.74,4,2,0,0,0,164
Empleado 177,0.41,0.48,2,3,0,0,0,148
Empleado 178,0.38,0.5,2,3,0,0,1,140
Empleado 179,0.37,0.51,2,3,0,0,1,127
Empleado 180,0.11,0.85,6,5,0,0,1,308
Empleado 181,0.4,0.47,2,3,0,0,1,146
Empleado 182,0.1,0.84,6,4,0,0,1,261
Empleado 183,0.89,0.99,5,5,0,0,1,257
Empleado 184,0.11,0.8,6,4,0,0,1,285
Empleado 185,0.36,0.55,2,3,0,0,1,141
Empleado 186,0.4,0.46,2,3,0,0,1,127
Empleado 187,0.09,0.85,6,4,0,0,1,297
Empleado 188,0.4,0.46,2,3,0,0,1,143
Empleado 189,0.37,0.55,2,3,0,0,1,152
Empleado 190,0.44,0.51,2,3,0,0,2,156
Empleado 191,0.09,0.8,7,5,0,0,0,283
Empleado 192,0.92,0.87,4,6,1,0,1,226
Empleado 193,0.74,0.91,4,5,0,0,1,232
Empleado 194,0.09,0.82,6,4,0,0,1,249
Empleado 195,0.89,0.95,4,5,0,0,1,275
Empleado 196,0.09,0.8,6,4,0,0,0,304
Empleado 197,0.27,0.54,7,3,0,0,0,278
Empleado 198,0.1,0.91,6,4,0,0,0,287
Empleado 199,0.1,0.89,7,4,0,0,0,285
Empleado 200,0.77,0.94,5,6,0,0,0,226
Empleado 201,0.9,0.82,5,5,0,0,0,259
Empleado 202,0.39,0.5,2,3,0,0,0,135
Empleado 203,0.76,1,5,5,0,0,0,219
Empleado 204,0.1,0.93,6,4,0,0,0,256
Empleado 205,0.87,0.9,5,6,0,0,0,254
Empleado 206,0.38,0.5,2,3,0,0,0,153
Empleado 207,0.77,0.99,5,5,0,0,0,228
Empleado 208,0.78,0.87,4,5,0,0,0,228
Empleado 209,0.44,0.5,2,3,0,0,0,128
Empleado 210,0.38,0.52,2,3,0,0,0,153
Empleado 211,0.43,0.46,2,3,0,0,0,156
Empleado 212,0.39,0.5,4,3,0,0,0,294
Empleado 213,0.88,1,5,5,0,0,0,219
Empleado 214,0.45,0.46,2,3,0,0,0,153
Empleado 215,0.4,0.53,2,3,0,0,0,151
Empleado 216,0.36,0.51,2,3,0,0,0,155
Empleado 217,0.36,0.48,2,3,0,0,0,158
Empleado 218,0.9,0.98,5,5,0,0,0,245
Empleado 219,0.43,0.53,2,3,0,0,0,131
Empleado 220,0.89,0.87,5,5,0,0,0,225
Empleado 221,0.1,0.84,6,4,0,0,0,286
Empleado 222,0.37,0.5,2,3,0,0,0,135
Empleado 223,0.37,0.51,2,3,0,0,0,153
Empleado 224,0.87,0.9,5,5,0,0,0,252
Empleado 225,0.4,0.56,2,3,0,0,0,149
Empleado 226,0.9,0.97,4,5,0,0,0,258
Empleado 227,0.37,0.46,2,3,0,0,0,158
Empleado 228,0.44,0.54,2,3,0,0,0,149
Empleado 229,0.85,0.95,5,5,0,0,0,236
Empleado 230,0.78,0.98,5,6,0,0,0,239
Empleado 231,0.42,0.47,2,3,0,0,0,159
Empleado 232,0.92,0.99,5,6,0,0,0,255
Empleado 233,0.11,0.83,6,4,0,0,0,244
Empleado 234,0.42,0.56,2,3,0,0,0,134
Empleado 235,0.48,0.57,4,4,0,0,0,270
Empleado 236,0.83,0.85,4,5,0,0,0,255
Empleado 237,0.4,0.53,2,3,0,0,0,151
Empleado 238,0.43,0.45,2,3,0,0,0,135
Empleado 239,0.43,0.53,2,3,0,0,0,146
Empleado 240,0.1,0.97,7,4,0,0,0,254
Empleado 241,0.1,0.87,7,4,0,0,0,289
Empleado 242,0.37,0.46,2,3,0,0,0,156
Empleado 243,0.38,0.53,2,3,0,0,0,156
Empleado 244,0.4,0.5,2,3,0,0,0,128
Empleado 245,0.89,0.86,5,5,0,0,0,275
Empleado 246,0.45,0.46,2,3,0,0,0,155
Empleado 247,0.37,0.48,2,3,0,0,0,159
Empleado 248,0.46,0.49,2,3,0,0,0,148
Empleado 249,0.87,0.91,4,5,0,0,0,228
Empleado 250,0.11,0.84,6,4,0,0,0,298
Empleado 251,0.79,0.87,5,5,0,0,0,261
Empleado 252,0.79,0.92,5,6,0,0,0,254
Empleado 253,0.19,0.59,7,3,0,0,0,192
Empleado 254,0.87,0.98,4,5,0,0,0,248
Empleado 255,0.6,0.92,2,5,0,0,0,258
Empleado 256,0.44,0.45,2,3,0,0,1,156
Empleado 257,0.11,0.81,6,4,1,0,1,266
Empleado 258,0.42,0.54,2,3,0,0,1,156
Empleado 259,0.88,0.88,5,5,1,0,1,232
Empleado 260,0.11,0.84,6,4,0,0,1,287
Empleado 261,0.46,0.46,2,3,0,0,1,154
Empleado 262,0.82,0.97,5,5,0,0,1,263
Empleado 263,0.44,0.56,2,3,0,0,1,131
Empleado 264,0.11,0.78,6,4,0,0,1,260
Empleado 265,0.42,0.5,2,3,0,0,1,139
Empleado 266,0.84,0.93,4,5,0,0,1,251
Empleado 267,0.11,0.95,6,4,0,0,1,286
Empleado 268,0.45,0.53,2,3,0,0,2,129
Empleado 269,0.38,0.56,2,3,0,0,0,156
Empleado 270,0.38,0.86,6,6,0,0,1,139
Empleado 271,0.44,0.51,2,3,0,0,1,127
Empleado 272,0.11,0.84,6,4,0,0,1,251
Empleado 273,0.81,0.93,5,5,0,0,1,270
Empleado 274,0.09,0.96,6,4,0,0,0,296
Empleado 275,0.11,0.9,6,4,0,0,0,254
Empleado 276,0.81,0.95,5,6,0,0,0,238
Empleado 277,0.1,0.97,6,4,1,0,0,267
Empleado 278,0.74,0.89,5,6,0,0,0,229
Empleado 279,0.09,0.78,6,4,0,0,0,254
Empleado 280,0.82,0.81,4,4,1,0,0,233
Empleado 281,0.1,0.98,6,4,0,0,0,268
Empleado 282,0.27,0.56,3,3,0,0,0,301
Empleado 283,0.83,0.92,5,6,0,0,0,267
Empleado 284,0.1,0.93,6,4,1,0,0,289
Empleado 285,0.38,0.47,2,3,0,0,0,144
Empleado 286,0.4,0.56,2,3,0,0,0,148
Empleado 287,0.11,0.83,6,4,0,0,0,306
Empleado 288,0.11,0.79,6,4,0,1,0,292
Empleado 289,0.82,0.91,5,5,0,0,0,232
Empleado 290,0.36,0.48,2,3,0,0,0,137
Empleado 291,0.4,0.46,2,3,0,0,0,128
Empleado 292,0.87,0.84,5,5,0,0,0,231
Empleado 293,0.41,0.49,2,3,0,0,0,146
Empleado 294,0.11,0.91,6,4,1,0,0,308
Empleado 295,0.1,0.93,6,4,0,0,1,253
Empleado 296,0.38,0.51,2,3,0,0,1,146
Empleado 297,0.39,0.55,2,3,0,0,1,156
Empleado 298,0.4,0.52,2,3,0,0,1,147
Empleado 299,0.45,0.48,2,3,0,0,1,136
Empleado 300,0.74,0.84,5,5,0,0,1,249
Empleado 301,0.45,0.55,2,3,0,0,1,151
Empleado 302,0.12,1,3,4,0,0,1,278
Empleado 303,0.1,0.77,7,5,0,0,1,250
Empleado 304,0.37,0.55,2,3,0,0,1,127
Empleado 305,0.89,0.87,5,5,0,0,1,255
Empleado 306,0.45,0.47,2,3,0,0,1,135
Empleado 307,0.37,0.46,2,3,0,0,2,149
Empleado 308,0.11,0.81,5,4,0,0,0,287
Empleado 309,0.41,0.48,2,3,0,0,1,145
Empleado 310,0.1,0.94,6,4,0,0,1,285
Empleado 311,0.1,0.93,7,4,0,0,1,305
Empleado 312,0.11,0.95,7,4,0,0,1,300
Empleado 313,0.4,0.54,2,3,0,0,0,139
Empleado 314,0.41,0.49,2,3,0,0,0,130
Empleado 315,0.1,0.81,6,4,0,0,0,268
Empleado 316,0.73,0.86,4,6,0,0,0,245
Empleado 317,0.43,0.47,2,3,0,0,0,135
Empleado 318,0.37,0.46,2,3,0,0,0,153
Empleado 319,0.11,0.94,6,4,0,0,0,276
Empleado 320,0.4,0.46,2,3,0,0,0,130
Empleado 321,0.41,0.54,2,3,1,0,0,153
Empleado 322,0.82,0.84,5,5,0,0,0,244
Empleado 323,0.61,0.47,2,3,0,0,0,253
Empleado 324,0.11,0.91,7,4,0,0,0,287
Empleado 325,0.37,0.45,2,3,0,0,0,131
Empleado 326,0.41,0.52,2,3,0,0,0,135
Empleado 327,0.37,0.52,2,3,0,0,0,157
Empleado 328,0.88,0.99,5,6,0,0,0,262
Empleado 329,0.1,0.85,6,4,0,0,0,266
Empleado 330,0.44,0.48,2,3,0,0,0,148
Empleado 331,0.38,0.57,2,3,0,0,0,140
Empleado 332,0.11,0.85,7,4,0,0,0,302
Empleado 333,0.09,0.98,6,4,0,0,0,271
Empleado 334,0.45,0.52,2,3,0,0,1,145
Empleado 335,0.1,0.81,6,4,0,0,1,290
Empleado 336,0.45,0.47,2,3,0,0,1,151
Empleado 337,0.77,0.87,5,5,0,0,1,266
Empleado 338,0.44,0.51,2,3,0,0,1,140
Empleado 339,0.39,0.5,2,3,0,0,1,142
Empleado 340,0.1,0.91,6,4,0,0,1,246
Empleado 341,0.09,0.89,7,5,0,0,1,308
Empleado 342,0.37,0.47,2,3,0,0,1,141
Empleado 343,0.9,1,5,5,0,0,1,232
Empleado 344,0.41,0.56,2,3,0,0,1,143
Empleado 345,0.37,0.52,2,3,0,0,1,155
Empleado 346,0.1,0.86,6,4,0,0,2,278
Empleado 347,0.81,1,4,5,0,0,0,253
Empleado 348,0.11,0.8,6,4,0,0,1,282
Empleado 349,0.11,0.84,7,4,0,0,1,264
Empleado 350,0.4,0.46,2,3,0,0,1,149
Empleado 351,0.09,0.8,6,5,0,0,1,304
Empleado 352,0.48,0.93,3,6,0,0,0,219
Empleado 353,0.91,0.91,4,6,0,0,0,262
Empleado 354,0.43,0.57,2,3,0,0,0,135
Empleado 355,0.33,0.88,6,5,0,0,0,219
Empleado 356,0.41,0.57,2,3,0,0,0,136
Empleado 357,0.41,0.55,2,3,0,0,0,154
Empleado 358,0.37,0.54,2,3,0,0,0,149
Empleado 359,0.31,0.62,6,5,0,0,0,135
Empleado 360,0.09,0.91,6,4,0,0,0,275
Empleado 361,0.1,0.87,6,4,0,0,0,290
Empleado 362,0.76,0.9,4,5,0,0,0,263
Empleado 363,0.41,0.54,2,3,0,0,0,145
Empleado 364,0.72,0.96,5,5,0,0,0,267
Empleado 365,0.4,0.5,2,3,1,0,0,141
Empleado 366,0.91,0.87,4,5,0,0,0,235
Empleado 367,0.1,0.83,6,4,0,0,0,258
Empleado 368,0.4,0.56,2,3,0,0,0,131
Empleado 369,0.82,0.86,5,5,0,0,0,243
Empleado 370,0.1,0.82,6,4,0,0,0,266
Empleado 371,0.37,0.45,2,3,0,0,0,142
Empleado 372,0.36,0.51,2,3,0,0,0,135
Empleado 373,0.39,0.48,2,3,0,0,1,141
Empleado 374,0.36,0.57,2,3,0,0,1,142
Empleado 375,0.86,0.84,5,5,0,0,1,254
Empleado 376,0.73,0.99,5,5,0,0,1,262
Empleado 377,0.56,0.71,4,2,0,0,1,296
Empleado 378,0.44,0.56,2,3,0,0,1,158
Empleado 379,0.31,0.56,4,2,0,0,1,238
Empleado 380,0.77,0.93,4,5,0,0,1,231
Empleado 381,0.44,0.45,2,3,0,0,1,156
Empleado 382,0.38,0.46,2,3,0,0,1,145
Empleado 383,0.45,0.48,2,3,0,0,1,144
Empleado 384,0.38,0.51,2,3,0,0,1,159
Empleado 385,0.36,0.48,2,3,0,0,2,156
Empleado 386,0.75,0.9,5,5,0,0,0,256
Empleado 387,0.1,0.93,6,4,0,0,1,298
Empleado 388,0.1,0.97,6,4,0,0,1,247
Empleado 389,0.45,0.5,2,3,0,0,1,157
Empleado 390,0.42,0.57,2,3,1,0,1,154
Empleado 391,0.78,1,4,5,0,0,0,253
Empleado 392,0.45,0.55,2,3,0,0,0,148
Empleado 393,0.84,1,4,5,0,0,0,261
Empleado 394,0.11,0.93,6,4,0,0,0,282
Empleado 395,0.42,0.56,2,3,0,0,0,133
Empleado 396,0.45,0.46,2,3,0,0,0,128
Empleado 397,0.46,0.57,2,3,0,0,0,139
Empleado 398,0.09,0.79,6,5,0,0,0,293
Empleado 399,0.87,0.83,4,6,0,0,0,265
Empleado 400,0.1,0.87,6,4,0,0,0,250
Empleado 401,0.91,1,5,6,0,0,0,251
Empleado 402,0.76,0.92,4,5,0,0,0,246
Empleado 403,0.74,1,5,5,0,0,0,275
Empleado 404,0.92,0.93,5,5,0,0,0,240
Empleado 405,0.76,0.87,5,5,0,0,0,245
Empleado 406,0.47,0.5,4,4,0,0,0,254
Empleado 407,0.73,0.99,5,5,0,0,0,241
Empleado 408,0.09,0.94,6,4,0,0,0,257
Empleado 409,0.91,0.92,4,5,0,0,0,246
Empleado 410,0.82,0.98,4,5,0,0,0,233
Empleado 411,0.28,0.45,6,4,0,0,0,218
Empleado 412,0.84,0.99,4,6,0,0,1,262
Empleado 413,0.45,0.53,2,3,0,0,1,138
Empleado 414,0.45,0.54,2,3,0,0,1,142
Empleado 415,0.91,0.97,5,5,0,0,1,233
Empleado 416,0.42,0.48,2,3,0,0,1,155
Empleado 417,0.82,1,4,6,0,0,1,229
Empleado 418,0.11,0.9,6,4,0,0,1,264
Empleado 419,0.42,0.53,3,4,0,0,1,199
Empleado 420,0.82,0.85,4,5,0,0,1,223
Empleado 421,0.09,0.96,6,4,0,0,1,268
Empleado 422,0.1,0.94,6,4,0,0,1,287
Empleado 423,0.86,1,5,5,0,0,1,257
Empleado 424,0.4,0.46,2,3,0,0,2,143
Empleado 425,0.45,0.46,2,3,0,0,0,130
Empleado 426,0.42,0.51,2,3,0,0,1,136
Empleado 427,0.74,0.92,4,5,0,0,1,261
Empleado 428,0.55,0.6,3,4,0,0,1,180
Empleado 429,0.37,0.45,2,3,0,0,1,126
Empleado 430,0.41,0.52,2,3,1,0,0,127
Empleado 431,0.89,0.65,5,6,0,0,0,195
Empleado 432,0.41,0.57,2,3,0,0,0,160
Empleado 433,0.44,0.51,2,3,0,0,0,150
Empleado 434,0.87,0.84,4,6,0,0,0,264
Empleado 435,0.1,0.84,6,4,0,0,0,309
Empleado 436,0.41,0.47,2,3,0,0,0,135
Empleado 437,0.11,0.85,6,4,0,0,0,261
Empleado 438,0.43,0.53,2,3,0,0,0,160
Empleado 439,0.77,0.9,4,5,0,0,0,237
Empleado 440,0.41,0.52,2,3,0,0,0,136
Empleado 441,0.41,0.48,2,3,0,0,0,139
Empleado 442,0.36,0.78,2,4,0,0,0,151
Empleado 443,0.77,1,5,5,0,0,0,229
Empleado 444,0.81,0.98,5,5,0,0,0,245
Empleado 445,0.39,0.54,2,3,0,0,0,127
Empleado 446,0.09,0.94,6,5,0,0,0,283
Empleado 447,0.44,0.46,2,3,0,0,0,143
Empleado 448,0.1,0.84,5,4,0,0,0,298
Empleado 449,0.36,0.48,2,3,0,0,0,159
Empleado 450,0.81,0.92,5,5,0,0,0,239
Empleado 451,0.81,0.9,4,5,0,0,1,226
Empleado 452,0.85,0.98,5,5,0,0,1,248
Empleado 453,0.1,0.87,6,4,0,0,1,286
Empleado 454,0.37,0.54,2,3,0,0,1,145
Empleado 455,0.09,0.97,7,4,1,0,1,254
Empleado 456,0.44,0.53,2,3,0,0,1,127
Empleado 457,0.86,0.93,5,5,0,0,1,223
Empleado 458,0.77,1,4,5,0,0,1,255
Empleado 459,0.41,0.48,2,3,0,0,1,136
Empleado 460,0.4,0.48,2,3,0,0,1,137
Empleado 461,0.43,0.49,2,3,0,0,1,135
Empleado 462,0.43,0.5,2,3,0,0,1,137
Empleado 463,0.8,0.53,3,5,0,0,2,255
Empleado 464,0.8,0.85,4,5,0,0,0,273
Empleado 465,0.82,0.98,5,5,0,0,1,234
Empleado 466,0.37,0.54,2,3,0,0,1,152
Empleado 467,0.37,0.48,2,3,0,0,1,134
Empleado 468,0.09,0.95,6,4,0,0,1,292
Empleado 469,0.9,0.92,5,5,0,0,0,245
Empleado 470,0.41,0.52,2,3,0,0,0,159
Empleado 471,0.1,0.85,6,4,0,0,0,260
Empleado 472,0.44,0.53,2,3,0,0,0,149
Empleado 473,0.89,0.85,5,5,0,0,0,266
Empleado 474,0.42,0.56,2,3,0,0,0,149
Empleado 475,0.87,1,5,5,0,0,0,242
Empleado 476,0.45,0.57,2,3,0,0,0,134
Empleado 477,0.11,0.87,5,4,0,0,0,271
Empleado 478,0.09,0.79,6,4,0,0,0,275
Empleado 479,0.76,0.83,5,5,0,0,0,227
Empleado 480,0.11,0.96,7,5,0,0,0,277
Empleado 481,0.37,0.49,2,3,0,0,0,151
Empleado 482,0.1,0.79,6,4,0,0,0,274
Empleado 483,0.77,0.87,4,6,0,0,0,242
Empleado 484,0.42,0.54,2,3,1,0,0,143
Empleado 485,0.38,0.52,2,3,0,0,0,145
Empleado 486,0.32,0.95,5,2,0,0,0,172
Empleado 487,0.38,0.49,2,3,0,0,0,135
Empleado 488,0.19,1,4,4,0,0,0,192
Empleado 489,0.1,0.83,7,4,0,0,0,276
Empleado 490,0.76,0.88,4,4,0,0,1,206
Empleado 491,0.53,0.56,4,6,0,0,1,281
Empleado 492,0.39,0.51,2,3,0,0,1,151
Empleado 493,0.11,0.83,6,4,0,0,1,244
Empleado 494,0.1,0.94,6,4,0,0,1,309
Empleado 495,0.84,1,5,5,0,0,1,218
Empleado 496,0.82,0.99,4,6,0,0,1,263
Empleado 497,0.1,0.82,6,4,0,0,1,244
Empleado 498,0.59,0.49,7,4,0,0,1,263
Empleado 499,0.44,0.48,2,3,0,0,1,143
Empleado 500,0.89,0.95,2,5,0,0,1,181
Empleado 501,0.91,0.84,5,5,0,0,1,265
Empleado 502,0.66,0.57,5,5,0,0,2,161
Empleado 503,0.11,0.87,7,5,0,0,0,282
Empleado 504,0.43,0.51,2,3,0,0,1,155
Empleado 505,0.78,0.83,4,6,0,0,1,217
Empleado 506,0.11,0.97,6,5,0,0,1,289
Empleado 507,0.83,0.98,4,5,0,0,1,259
Empleado 508,0.39,0.54,2,3,0,0,0,158
Empleado 509,0.38,0.55,2,3,0,0,0,158
Empleado 510,0.37,0.57,2,3,0,0,0,155
Empleado 511,0.44,0.48,2,3,0,0,0,146
